"","test.return_factor","flat","down","up"
"1","flat",1,0,0
"2","down",0,1,0
"3","down",0,1,0
"4","up",0,0,1
"5","flat",1,0,0
"6","down",0,1,0
"7","up",0,0,1
"8","flat",1,0,0
"9","flat",1,0,0
"10","up",0,0,1
"11","up",0,0,1
"12","flat",1,0,0
"13","flat",1,0,0
"14","up",0,0,1
"15","flat",1,0,0
"16","flat",1,0,0
"17","up",0,0,1
"18","flat",1,0,0
"19","flat",1,0,0
"20","flat",1,0,0
"21","flat",1,0,0
"22","down",0,1,0
"23","flat",1,0,0
"24","down",0,1,0
"25","up",0,0,1
"26","down",0,1,0
"27","down",0,1,0
"28","flat",1,0,0
"29","down",0,1,0
"30","up",0,0,1
"31","down",0,1,0
"32","flat",1,0,0
"33","down",0,1,0
"34","down",0,1,0
"35","up",0,0,1
"36","down",0,1,0
"37","flat",1,0,0
"38","up",0,0,1
"39","flat",1,0,0
"40","up",0,0,1
"41","flat",1,0,0
"42","flat",1,0,0
"43","up",0,0,1
"44","flat",1,0,0
"45","flat",1,0,0
"46","flat",1,0,0
"47","up",0,0,1
"48","down",0,1,0
"49","flat",1,0,0
"50","flat",1,0,0
"51","flat",1,0,0
"52","flat",1,0,0
"53","down",0,1,0
"54","flat",1,0,0
"55","up",0,0,1
"56","down",0,1,0
"57","down",0,1,0
"58","down",0,1,0
"59","flat",1,0,0
"60","flat",1,0,0
"61","down",0,1,0
"62","up",0,0,1
"63","flat",1,0,0
"64","down",0,1,0
"65","flat",1,0,0
"66","flat",1,0,0
"67","flat",1,0,0
"68","flat",1,0,0
"69","down",0,1,0
"70","down",0,1,0
"71","flat",1,0,0
"72","flat",1,0,0
"73","down",0,1,0
"74","flat",1,0,0
"75","flat",1,0,0
"76","flat",1,0,0
"77","down",0,1,0
"78","flat",1,0,0
"79","flat",1,0,0
"80","flat",1,0,0
"81","flat",1,0,0
"82","down",0,1,0
"83","flat",1,0,0
"84","flat",1,0,0
"85","flat",1,0,0
"86","flat",1,0,0
"87","flat",1,0,0
"88","up",0,0,1
"89","up",0,0,1
"90","up",0,0,1
"91","flat",1,0,0
"92","up",0,0,1
"93","flat",1,0,0
"94","down",0,1,0
