,Underlying,quarter,timestamp,industry,sector,earnBeatsBefore,earnMissBefore,PostEarningsReturn,1Year,6month,3month,1month,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
981,MDXG,3/31/2017,2/23/2017,Medical Devices,Healthcare,0,1,-0.04187804,-0.003605769,0.102393617,-0.155804481,0.042111879,2.494244264,0.381443609,350.7658567,0.31181861,0.870427615,0.1249356,0.1249356,0.078438949,0.1249356,0.466779099,0.004579925,0.62251414,0.204856115,down
165,ANW,6/30/2017,5/24/2017,Oil & Gas Integrated,Energy,0,1,-0.47957308,0.464435146,-0.018691589,0.03960396,-0.066666667,1.814650853,0.890842299,152.1476286,0.639080532,0.05270302,0.009096885,0.009096885,0.000888301,0.009096885,-0.553807687,0.005947349,-6.627769572,-0.268460277,down
197,ATEN,6/30/2017,4/28/2017,Software - Infrastructure,Technology,1,0,-0.164677093,0.444780635,0.055248619,0.210392902,0.065848214,2.065418926,1.097077515,374.420761,0.599172002,0.765384998,-0.071724779,-0.071724779,-0.064691637,-0.071724779,0.052485284,-0.01077583,-1.035384615,-6.165137615,down
982,MDXG,6/30/2017,4/28/2017,Medical Devices,Healthcare,0,2,0.107200926,0.476683938,0.3507109,0.422333125,0.178903826,2.457620968,0.384388853,336.0390871,0.315426201,0.880617571,0.086217582,0.086217582,0.059594805,0.086217582,-0.112113569,-0.006374569,1.000693321,-0.302631579,up
166,ANW,9/30/2017,8/11/2017,Oil & Gas Integrated,Energy,0,2,0.192077732,-0.35508346,-0.610091743,-0.597156398,-0.285714286,1.854245558,0.862776509,144.8800132,0.633818738,0.057089152,0.011221254,0.011221254,0.00119598,0.011221254,0.267819255,-0.015228646,2.900174115,0.001760751,up
656,GFN,9/30/2017,2/6/2018,Rental & Leasing Services,Industrials,0,1,0.021202208,0.25,0.473684211,0.28440367,0.014492754,1.939788394,0.492235339,220.924065,0.669416005,0.439166064,0.064631369,0.064631369,-0.011903626,0.064631369,-0.055184805,0.015442435,1.419243986,0.092391662,flat
198,ATEN,9/30/2017,7/28/2017,Software - Infrastructure,Technology,2,0,0.129163707,-0.159786951,-0.200253485,-0.339267016,-0.278032037,2.053802039,1.065927446,281.2503492,0.58625146,0.763582857,-0.149825849,-0.149825849,-0.154016651,-0.149825849,0.340735151,-0.006140814,-0.680493409,-0.40427945,up
983,MDXG,9/30/2017,7/27/2017,Medical Devices,Healthcare,0,3,-0.020690393,0.945551129,0.815365551,0.31981982,-0.014794889,2.573159131,0.349772527,290.1294299,0.263152628,0.888067319,0.09541695,0.09541695,0.105598597,0.09541695,0.349420403,0.0116551,0.584830834,0.002150857,flat
597,FCEL,10/31/2017,3/8/2018,Utilities - Independent Power Producers,Utilities,0,1,0.051293294,0.14,0.11038961,0.01183432,0.11038961,2.705313377,0.535501388,927.3353929,0.494213094,-0.253523846,-1.383471713,-1.383471713,-1.641340027,-1.383471713,-0.290474456,-0.020669907,-0.162284571,0.073365894,up
431,CVGW,10/31/2017,3/7/2018,Farm Products,Consumer Defensive,0,1,-0.004730937,0.655273438,0.244493392,0.104234528,0.01315003,1.064711505,0.502370797,98.58006929,0.338820214,0.082388238,0.041618459,0.041618459,0.029206518,0.041618459,-0.1800248,-0.045381079,0.013620885,-0.140303843,flat
