,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,epsPos,epsNeg,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,0.225846408,-0.029897076,0.044870667,0.178408414,0.045432435,A,305000000,-58000000,5300000000,2678000000,115000000,-52000000,-15000000,-9000000,38000000,97000000,62.14,3000000,542000000,240000000,,52000000,,-43000000,270000000,,-7000000,0.67,0.05,0.62,1,0,,2607000000,647000000,226000000,49000000,361000000,-20000000,575000000,-1000000,1801000000,138000000,1,4000000,4000000,-70000000,177000000,177000000,177000000,801000000,1863000000,,62.15,270000000,394000000,-14000000,-1000000,115000000,385000000,,527000000,,-346000000,757000000,10/31/2017,89000000,-126000000,288000000,2011000000,,0.081,8/16/2017,8426000000,-106000000,288000000,-60000000,4169000000,1263000000,3591000000,919000000,-44000000,1189000000,4831000000,-346000000
1,0.553285968,0.043867502,0.111181703,0.192635527,-0.00071495,A,292000000,-60000000,5320000000,2887000000,209000000,-5000000,-34000000,-3000000,31000000,-38000000,69.91,3000000,538000000,,,51000000,,-48000000,239000000,,24000000,0.66,0.08,0.58,1,0,,2633000000,673000000,233000000,553000000,341000000,-20000000,608000000,-1000000,1800000000,140000000,1,4000000,4000000,135000000,-320000000,-320000000,-320000000,751000000,1548000000,,70.05,239000000,395000000,-28000000,-1000000,151000000,370000000,,1011000000,,-269000000,792000000,1/31/2018,93000000,-529000000,341000000,2145000000,,0.138,11/21/2017,8698000000,37000000,215000000,-67000000,4397000000,1361000000,4172000000,972000000,-6000000,1211000000,4522000000,-272000000
2,0.383210955,-0.032750486,0.038283927,0.173795891,0.03274354,A,271000000,-48000000,5332000000,3011000000,124000000,-16000000,-32000000,-11000000,18000000,57000000,72.02,3000000,562000000,,,50000000,,-48000000,220000000,,-15000000,0.65,0.01,0.64,1,0,,2618000000,644000000,227000000,22000000,314000000,-19000000,594000000,-10000000,1800000000,139000000,1,4000000,4000000,-30000000,205000000,205000000,205000000,754000000,1681000000,,74.94,220000000,390000000,28000000,-1000000,166000000,374000000,,1002000000,,-310000000,798000000,4/30/2018,91000000,-412000000,333000000,2115000000,,0.016,2/15/2018,8784000000,-114000000,303000000,-50000000,4525000000,1365000000,4167000000,986000000,7000000,1206000000,4613000000,-310000000
3,0.232371795,0.015255978,0.011398509,0.02578924,-0.101978804,A,273000000,-33000000,5312000000,2131000000,-880000000,12000000,-32000000,5000000,3000000,-80000000,62.5,3000000,542000000,,,53000000,,-48000000,225000000,,-15000000,0.67,0.04,0.63,1,0,,,661000000,242000000,6000000,3448000000,-18000000,623000000,-10000000,1799000000,70000000,1,4000000,4000000,-315000000,236000000,236000000,236000000,733000000,1116000000,,61.84,225000000,363000000,,,180000000,328000000,,968000000,,-335000000,801000000,7/31/2018,97000000,-416000000,339000000,1799000000,,0.063,5/15/2018,8349000000,-589000000,197000000,-473000000,3667000000,1014000000,3781000000,978000000,17000000,1203000000,4564000000,-335000000
4,,0.198686371,0.166134185,0.048549267,0.006009305,AA,1618000000,-96000000,9584000000,1119000000,165000000,-37000000,-16000000,90000000,117000000,-137000000,36.72,2000000,2361000000,862000000,,195000000,,,319000000,,-4000000,0.72,-0.05,0.77,0,1,,,603000000,288000000,119000000,,-26000000,1323000000,-8000000,1384000000,1408000000,1,2256000000,2256000000,-46000000,113000000,113000000,169000000,1033000000,5862000000,,35.95,319000000,2760000000,-89000000,4000000,112000000,681000000,,4986000000,12000000,-4033000000,9282000000,9/30/2017,8000000,309000000,70000000,1401000000,,-0.065,7/20/2017,17254000000,-115000000,384000000,-100000000,3804000000,2766000000,9136000000,2645000000,-31000000,2964000000,5862000000,-4033000000
5,,0.005263158,0.300381264,0.490324594,-0.025666909,AA,1898000000,-150000000,9590000000,1358000000,239000000,-6000000,-136000000,268000000,588000000,-347000000,46.54,2000000,2358000000,814000000,,188000000,,,552000000,,7000000,1.04,-0.18,1.22,0,1,,154000000,816000000,216000000,272000000,62000000,-27000000,1453000000,-22000000,1388000000,1410000000,1,2275000000,2275000000,18000000,-196000000,-196000000,-56000000,1043000000,4307000000,,46.5,552000000,2306000000,-76000000,,113000000,879000000,,6009000000,-2000000,-5182000000,9277000000,12/31/2017,9000000,113000000,70000000,1404000000,,-0.148,10/19/2017,17447000000,-53000000,455000000,-170000000,4238000000,3252000000,10649000000,2622000000,-336000000,3174000000,4523000000,-5182000000
6,0.38121547,0.015228426,0.1368804,0.008267796,0.009752291,AAL,1638000000,-1369000000,5918000000,340000000,-46000000,-190000000,,0,-923000000,-587000000,50.49,5000000,7481000000,538000000,,668000000,,-48000000,1344000000,,,1.42,0.02,1.4,1,0,,4091000000,3397000000,1004000000,380000000,2214000000,-266000000,1315000000,874000000,22217000000,,1,,,-177000000,624000000,624000000,624000000,1700000000,-2357000000,,49.02,1344000000,4063000000,-15000000,161000000,393000000,7546000000,,10929000000,1220000000,-5127000000,32031000000,9/30/2017,,3152000000,400000000,24684000000,5428000000,0.014,7/28/2017,52401000000,-599000000,369000000,184000000,10002000000,15307000000,48453000000,9534000000,-340000000,10878000000,3948000000,-5127000000
7,0.285462333,0.089007471,0.0204,0.16007276,-0.048388442,AAL,1688000000,-1408000000,5714000000,295000000,-45000000,-190000000,,367000000,62000000,-587000000,48.61,5000000,7570000000,427000000,,527000000,,-48000000,970000000,,,0.95,0.03,0.92,1,0,,4091000000,3031000000,425000000,167000000,2203000000,-266000000,1359000000,661000000,22511000000,,1,,,379000000,258000000,258000000,258000000,1752000000,-2368000000,,52,970000000,3017000000,-13000000,74000000,318000000,6769000000,,9995000000,1231000000,-5154000000,32939000000,12/31/2017,,3361000000,383000000,25065000000,4771000000,0.033,10/26/2017,51396000000,75000000,437000000,-557000000,9146000000,14964000000,47470000000,9631000000,-545000000,10601000000,3926000000,-5154000000
8,0.152503155,0.041833048,0.07473519,0.082592373,-0.03227283,AAL,1953000000,-779000000,5279000000,297000000,2000000,,,0,1168000000,,53.05,5000000,7713000000,1581000000,,445000000,,-48000000,626000000,,,0.75,0.03,0.72,1,0,,4091000000,2688000000,273000000,87000000,2193000000,-265000000,1455000000,-223000000,21946000000,,1,,,-333000000,186000000,186000000,186000000,1809000000,-7302000000,,54,626000000,4221000000,1000000,24000000,294000000,8725000000,,15344000000,1261000000,-5172000000,33102000000,3/31/2018,,-1130000000,356000000,24739000000,4994000000,0.042,1/25/2018,53280000000,-841000000,1799000000,-956000000,9673000000,17008000000,54298000000,9775000000,-353000000,10401000000,-1018000000,-5172000000
9,-0.029178288,-0.111001965,-0.174119365,-0.112397018,-0.065762106,AAL,2053000000,-952000000,4923000000,293000000,-95000000,,,0,54000000,,42.37,5000000,8289000000,1399000000,,463000000,,-46000000,1180000000,,,1.63,0.04,1.59,1,0,,4091000000,3354000000,769000000,203000000,2157000000,-266000000,1522000000,618000000,21863000000,,1,,,-660000000,566000000,566000000,566000000,1941000000,-7117000000,,43.49,1180000000,4166000000,-18000000,19000000,183000000,8703000000,,14959000000,1326000000,-5187000000,33032000000,6/30/2018,,-610000000,385000000,24076000000,4381000000,0.025,4/26/2018,52622000000,-1100000000,1084000000,-79000000,9176000000,16669000000,53491000000,10463000000,-411000000,11643000000,-869000000,-5187000000
10,6.986145069,0.594110948,1.09335612,2.129671032,-0.416651022,AAOI,50993000,-16004000,285600000,70930000,-4555000,731000,-14756000,-2863000,-2404000,1638000,64.6,19000,49507000,15167000,,5403000,,,18051000,,33000,1.08,0.06,1.02,1,0,,,39372000,17510000,-1865000,4838000,-248000,74552000,6000,37371000,,1,,,13611000,19375000,19375000,19375000,73029000,319604000,,75,18051000,22318000,-742000,-2369000,1072000,6870000,,,,6400000,181481000,9/30/2017,9190000,32423000,12131000,41009000,36000,0.059,8/4/2017,438704000,6320000,7614000,-18522000,230067000,76891000,114262000,70828000,-541000,88879000,324442000,6400000
11,0.612340426,-0.372162386,-0.438417074,-0.416807757,0.141286936,AAOI,43624000,-9659000,,83984000,-649000,6195000,-15761000,0,1632000,-7922000,43.64,333276000,47242000,12801000,,6964000,,,10779000,,1059000,0.89,0.06,0.83,1,0,,,32613000,9419000,3703000,4811000,-66000,75768000,36000,49000000,,1,,,15585000,5716000,5716000,5716000,65734000,328465000,,40.47,10779000,20533000,,3128000,1394000,7422000,,,,,197943000,12/31/2017,10670000,,11164000,49559000,,0.072,11/8/2017,452984000,14576000,-4064000,-12220000,229697000,70708000,119708000,69076000,-1360000,79855000,333276000,
