Underlying,quarter,1Year,1month,3month,6month,industry,sector,current_ratio,total_debt_equity_ratio,day_sales_outstanding,total_liabilities_total_assets,gross_margin,operating_margin,interest_coverage_ratio,net_profit_margin,roe,changeInCash,changeToLiabilities,changeToNetincome,changeToOperatingActivities,return_factor
A,10/31/2017,0.225846408,-0.029897076,0.044870667,0.178408414,Diagnostics & Research,Healthcare,3.300870942,0.261436556,245.8915055,0.426180869,0.544154752,0.227081581,0.227081581,0.148864592,0.227081581,0.042942494,-0.002506266,0.214689266,0.336805556,up
A,1/31/2018,0.553285968,0.043867502,0.111181703,0.192635527,Diagnostics & Research,Healthcare,3.230712711,0.300973021,226.3542527,0.479650494,0.555739059,0.197357556,0.197357556,-0.264244426,0.197357556,0.072393488,-0.00071908,-0.096875,-0.176744186,flat
A,4/30/2018,0.383210955,-0.032750486,0.038283927,0.173795891,Diagnostics & Research,Healthcare,3.315018315,0.295902883,228.2006633,0.474385246,0.533996683,0.182421227,0.182421227,0.169983416,0.182421227,0.041182331,-0.002639789,0.087804878,0.188118812,flat
A,7/31/2018,0.232371795,0.015255978,0.011398509,0.02578924,Diagnostics & Research,Healthcare,3.616370809,0.222173532,222.3981712,0.452868607,0.549459684,0.187032419,0.187032419,0.196176226,0.187032419,-0.412951666,0.001322401,0.012711864,-0.406091371,down
AAL,9/30/2017,0.38121547,0.015228426,0.1368804,0.008267796,Airlines,Industrials,0.653426537,3.877152989,57.04173561,0.924657926,0.312281669,0.123552124,0.123552124,0.057363486,0.123552124,-0.135294118,0,-1.479166667,-1.590785908,flat
AAL,12/31/2017,0.285462333,0.089007471,0.0204,0.16007276,Airlines,Industrials,0.611200214,3.81151299,60.32261107,0.923612733,0.285916423,0.091500802,0.091500802,0.024337327,0.091500802,-0.152542373,0.007731199,0.240310078,-1.343249428,down
AAOI,9/30/2017,6.986145069,0.594110948,1.09335612,2.129671032,Semiconductors,Technology,2.992118714,0.236994594,299.9086961,0.260453518,0.442984282,0.203096344,0.203096344,0.217993002,0.203096344,-0.064218243,-0.025056449,-0.124077419,0.215130024,down
AAOI,12/31/2017,0.612340426,-0.372162386,-0.438417074,-0.416807757,Semiconductors,Technology,3.248529162,0.212160492,300.4559514,0.264265405,0.40840273,0.134982155,0.134982155,0.071579738,0.134982155,-0.007727662,0,0.285514346,1.949311024,up
AAOI,3/31/2018,-0.080383285,-0.015389,-0.232904085,-0.429867987,Semiconductors,Technology,3.46161554,0.203496129,300.1896872,0.278213352,0.396020785,0.033262312,0.033262312,0.0324959,0.033262312,-0.007890482,0.019641332,0.769811321,1.949311024,down
AAOI,6/30/2018,-0.387872452,0.381439245,0.051166966,-0.071126388,Semiconductors,Technology,3.215786905,0.209277619,202.2707294,0.274400471,0.385586755,0.101830976,0.101830976,0.091480495,0.101830976,-0.070297939,0.040178124,0.566591984,0.18714718,down
AAPL,9/30/2017,0.414898633,0.045644599,0.017219172,0.236505974,Consumer Electronics,Technology,1.276062848,0.752079495,247.639647,0.642845153,0.379067689,0.24952928,0.24952928,0.203769566,0.24952928,0.084676426,0.0606038,0.219525854,-0.468382729,up
AAPL,3/31/2018,0.303145631,-0.025837543,-0.007453857,0.067710322,Consumer Electronics,Technology,1.456034483,0.703983354,133.7801986,0.65475562,0.383106793,0.259973502,0.259973502,0.226082405,0.259973502,0.389888812,-0.116866979,0.051367385,1.330337079,down
AAPL,6/30/2018,0.15363624,0.004216402,0.012756783,0.037105182,Consumer Electronics,Technology,1.307324841,0.770324231,180.6806533,0.670819051,0.383384962,0.236778372,0.236778372,0.216258331,0.236778372,-0.409370992,0.00640347,0.192551437,-0.368580895,up
AAXN,9/30/2017,-0.119345859,-0.000394945,0.005162828,-0.055949273,Aerospace & Defense,Industrials,1.885694018,0.602667389,207.0578981,0.493051125,0.551339434,-0.008852009,-0.008852009,0.004675279,-0.008852009,0.355018288,0.046376148,2.443127962,1.546362124,down
AAXN,12/31/2017,0.025583483,-0.040722082,-0.007384883,-0.12952381,Aerospace & Defense,Industrials,1.900805929,0.644693151,216.1980328,0.504767651,0.665772152,0.091367233,0.091367233,-0.021880382,0.091367233,0.421196991,0.066983852,-5.937228392,0.092661871,down
AAXN,3/31/2018,0.044861963,-0.005837286,0.132585204,0.262743281,Aerospace & Defense,Industrials,2.012042576,0.645716378,350.2579163,0.492782167,0.636872005,0.134199476,0.134199476,0.127708344,0.134199476,0.177190512,0.068693973,0.446155036,-0.094277959,up
AAXN,6/30/2018,0.783146965,0.060822048,0.775347913,0.907304571,Aerospace & Defense,Industrials,4.027907823,0.269355363,385.3713744,0.30130122,0.636355391,0.053403342,0.053403342,0.085511862,0.053403342,0.699753176,-0.028389863,0.432645846,2.941448382,up
ABX,9/30/2017,-0.205867971,0.009950249,-0.04245283,-0.100775194,Gold,Basic Materials,2.728423475,0.180778032,43.77069744,0.53645501,0.362769694,0.262418465,0.262418465,-0.005519318,0.262418465,-0.444938272,0.003717472,-21.27272727,0.030075188,flat
ABX,12/31/2017,-0.06660746,-0.029248768,-0.046279492,-0.056552962,Gold,Basic Materials,2.681167716,0.188132673,66.51256732,0.562707444,0.376122083,0.441651706,0.441651706,-0.140933573,0.441651706,0.093554163,-0.002176813,-3.372611465,-0.328813559,down
ABX,3/31/2018,-0.291645044,-0.066347469,-0.021505376,-0.175226586,Gold,Basic Materials,2.824499411,0.17913282,35.27653631,0.556386833,0.362011173,0.284357542,0.284357542,0.088268156,0.284357542,0.062919463,-0.007501769,1.139240506,-0.118343195,flat
ABX,6/30/2018,-0.328133125,0.0336,-0.1095796,-0.197515528,Gold,Basic Materials,2.118055556,0.230867892,41.36098131,0.557917363,0.316004673,0.191004673,0.191004673,-0.054906542,0.191004673,-0.143405276,-0.006992009,-0.840425532,-0.021276596,flat
ACAD,9/30/2017,-0.161510077,0.103886398,-0.084314941,-0.226499084,Biotechnology,Healthcare,11.12171098,0.095787197,156.4930575,0.087954481,-0.114003036,-1.863820338,-1.863820338,-1.833942324,-1.863820338,-0.276807914,-0.017203474,-0.304331167,0.183832469,up
ACAD,12/31/2017,0.411918225,-0.120563533,-0.022583559,0.116999312,Biotechnology,Healthcare,7.617315929,0.146233801,154.4224324,0.128011006,3.348537716,-1.580712548,-1.580712548,-1.580988017,-1.580712548,-0.622288167,0.11832348,-0.317550203,-0.437196856,down
ACAD,3/31/2018,-0.218067754,-0.018273472,0.112857143,-0.039753467,Biotechnology,Healthcare,7.377335156,0.151524317,174.3885569,0.133520397,0.124969305,-1.121777032,-1.121777032,-1.111074732,-1.121777032,0.406265044,-0.123530541,-0.373434507,0.020072509,down
ACAD,6/30/2018,-0.505701079,-0.275192047,-0.469927297,-0.539477462,Biotechnology,Healthcare,6.118096477,0.18590964,170.669786,0.159512319,0.094509577,-1.122951825,-1.122951825,-1.108704414,-1.122951825,-0.564287833,0.00531449,-0.328075111,-0.072146789,up
ACRX,9/30/2017,-0.173669468,0.43902439,0.113207547,0.113207547,Medical Devices,Healthcare,4.778846154,-0.490679336,329.6536651,1.36630289,-2.99596503,-5.958977808,-5.958977808,-8.751176866,-5.958977808,0.085197833,0.001132222,-0.375854914,0.065300708,down
ACRX,12/31/2017,-0.360655738,-0.093023256,-0.338983051,-0.22,Medical Devices,Healthcare,4.642240117,-0.374154318,756.1418919,1.483230093,-5.267567568,-10.55,-10.55,-13.35810811,-10.55,-0.284185853,-8.92E-06,-0.339200809,-0.079988017,flat
ACRX,3/31/2018,-0.46031746,-0.055555556,-0.227272727,-0.484848485,Medical Devices,Healthcare,4.048743681,-0.282700512,821.516035,1.712321274,-12.48979592,-24.10787172,-24.10787172,-33.79591837,-24.10787172,-0.213265142,0.006167198,-0.341097308,0.221182533,up
ACRX,6/30/2018,-0.038461538,0.086956522,0.351351351,0.295336788,Medical Devices,Healthcare,4.008249451,-0.269840297,501.9865526,1.757753018,-3.922982885,-8.744498778,-8.744498778,-12.88630807,-8.744498778,-0.310461936,-0.003591992,-0.388483066,-0.04648986,flat
ADM,9/30/2017,-0.06433008,0.019333011,-0.077629565,-0.044187627,Farm Products,Consumer Defensive,1.612060979,0.675754126,101.5461658,0.547589109,0.054764956,0.022526472,0.022526472,0.012949349,0.022526472,0.818532819,0.023337551,0.916666667,0.405469679,flat
ADM,12/31/2017,-0.017894012,0.004458001,0.005165532,0.027357811,Farm Products,Consumer Defensive,1.585123309,0.686397641,92.4197262,0.540199685,0.058431861,0.029620411,0.029620411,0.04903547,0.029620411,0.07960199,0.020381694,-0.930203046,3.464285714,down
ADM,3/31/2018,-0.077062969,0.010452962,0.010956175,-0.046724583,Farm Products,Consumer Defensive,1.573654498,0.709214179,109.9278629,0.542676399,0.057258792,0.024217442,0.024217442,0.025312379,0.024217442,-0.146800502,-0.025421449,-0.190839695,0.776440963,flat
