Ticker,forwardPE,revenueGrowth,overallRisk,netIncomeToCommon,auditRisk,beta,boardRisk,compensationRisk,currentRatio,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,forwardEps,heldPercentInsiders,heldPercentInstitutions,industry,netIncomeToCommon,pegRatio,quickRatio,recommendationMean,returnOnAssets,returnOnEquity,revenuePerShare,sector,shareHolderRightsRisk,sharesShort,sharesShortPriorMonth,shortRatio,trailingEps
DDS,12.715211,0.025,10,249824000,2,0.43967,10,7,1.71,47.937,,,0.079569995,5.468,0.435,6.18,0.16986,1.04007,Department Stores,249824000,1.28,0.172,2.6,0.049850002,0.15246001,230.535,Consumer Cyclical,10,6546598,6507951,15,8.863
SMRT,,0.011,,-8843000,,-2.46392,,,1.075,309.225,,,0.021389998,9.611,0.206,0.15,0.35332,0.15055001,Apparel Stores,-8843000,,0.038,3,-0.00584,-0.15062,28.106,Consumer Cyclical,,5029975,5263184,14.93,-0.19
OMER,-16.379745,-0.904,8,-87783000,2,3.874025,6,10,3.948,,,,-1.98614,-16.287,32.347,-1.58,0.059860002,0.48768002,Biotechnology,-87783000,-0.11,3.679,2.2,-0.58138,,0.81,Healthcare,5,8826799,9071232,14.9,-1.839
TELL,-18.245285,,9,-118625000,1,1.6995,10,7,7.255,,,,0,-18.565,164.004,-0.53,0.6197,0.17161,Oil & Gas E&P,-118625000,,7.142,1.8,-0.25499,-0.45374,0.06,Energy,8,12547676,11415972,14.82,-0.544
GSAT,-8.498333,0.199,10,110739000,2,1.472199,10,8,0.672,128.089,,,0.20522,43.26,8.878,-0.06,0.5427,0.33446997,Telecom Services,110739000,1.61,0.215,3,-0.03194,0.46842,0.099,Communication Services,10,72000229,75459741,14.75,0.088
VVUS,-0.9859649,0.333,,-39296000,,0.565421,,,4.93,,,,-0.06099,-71.448,4.357,-0.57,0.025239998,0.19106,Biotechnology,-39296000,-1.65,4.125,3,-0.01084,,0.509,Healthcare,,4779491,4921707,14.59,-0.372
GKOS,-2279.0002,0.045,9,-5778000,2,1.030757,8,10,7.628,,,,-0.00161,-8449.587,13.644,-0.03,0.04249,1.08894,Medical Instruments & Supplies,-5778000,-4.01,6.737,1.9,-0.02638,-0.0421,4.772,Healthcare,8,5262504,5030289,14.24,-0.167
NVAX,-3.4666667,0.6,6,-186294000,1,3.187084,6,7,4.517,,,,0,-4.369,18.408,-0.45,0.011560001,0.43562,Biotechnology,-186294000,,3.885,2.4,-0.34083,,0.118,Healthcare,8,54029493,55236505,13.94,-0.562
INO,-5.207921,0.198,7,-94630704,2,1.708671,8,8,3.585,,,,-2.32095,-4.169,9.676,-1.01,0.06305,0.32472,Biotechnology,-94630704,,3.459,1.8,-0.36968,-0.80529,0.417,Healthcare,3,9063151,9655722,13.94,-1.061
FOLD,-16.240963,1.977,6,-292624000,2,1.386161,5,7,10.88,30.155,,,0,-10.663,34.659,-0.83,0.00667,1.20172,Biotechnology,-292624000,-0.06,10.461,1.9,-0.14919,-0.70615,0.368,Healthcare,7,25730920,26395013,13.9,-1.691
Z,63.18182,0.219,10,-89653000,1,0.538637,10,9,8.175,13.821,,,0.06585,118.074,7.775,0.77,0.01159,0.02568,Real Estate Services,-89653000,0.89,7.819,2.8,0.00141,-0.03269,6.236,Real Estate,10,20531296,16579436,13.87,-0.47
FIZZ,27.40465,0.152,9,149774000,1,0.927927,10,9,3.372,,0.242,0.25,0.22282,24.065,5.362,4.3,0.74939,0.24441999,Beverages - Soft Drinks,149774000,1.19,2.62,2.7,0.31401,0.5191,20.939,Consumer Defensive,8,2407467,2766476,13.76,3.19
BLDP,,-0.003,1,-13735000,1,1.280035,2,1,2.639,5.505,,,-0.05549,-89.562,4.97,0,0.00162,0.075279996,Diversified Industrials,-13735000,-1647.67,1.76,2.4,-0.03856,-0.1179,0.667,Industrials,6,7999242,7693582,13.65,-0.077
LPCN,-2.0135136,,,-16007306,,-0.370425,,,8.882,72.988,,,0,-1.269,47.274,-0.74,0.05847,0.1345,Drug Manufacturers - Specialty & Generic,-16007306,,7.083,2,-0.37418,-0.82032996,0.02,Healthcare,,1100655,1382700,13.62,-0.756
BITA,12.284974,0.181,,-227897088,,2.156401,,,1.165,145.377,,,-0.0341,-104.86,3.576,1.93,0.24023001,0.35731,Internet Content & Information,-227897088,15.04,1.02,2.8,-0.01759,-0.090450004,20.876,Technology,,10009148,11057672,13.61,-3.227
CBRL,15.465767,0.03,2,240159008,1,0.296585,1,2,1.053,62.468,0.041,0.039,0.12996,9.908,1.288,9.64,0.00915,0.89096,Restaurants,240159008,2.23,0.557,3,0.11844,0.38662,123.342,Consumer Cyclical,6,3891157,4861996,13.59,9.969
