"","flat","up"
"(Intercept)",0.107010971724029,0.125192926055088
"X1Year",0.0400924920718129,0.0452840324936558
"X1month",0.0911430448298861,0.11337655615883
"industryAerospace & Defense",0.00311879957019481,0.00165004706882919
"industryAgricultural Inputs",NA,0.000857942689448675
"industryAirlines",0.00607046633868101,3.95003266341162e-12
"industryAirports & Air Services",NA,5.21405648802768e-17
"industryAluminum",0.000500043446541323,5.34823777267288e-13
"industryApparel Manufacturing",0.00115533807616223,0.00211341396977652
"industryApparel Stores",NA,1.59243847420302e-14
"industryAsset Management",0.00236368725369922,0.00117273699373908
"industryAuto Manufacturers",0.000940599478268551,0.000736996035133951
"industryAuto Parts",0.00137502422676778,0.00195774091397146
"industryBanks - Global",0.00075040183431287,0.000750401826397859
"industryBanks - Regional - Europe",0.000464372423571197,7.09276607230156e-14
"industryBanks - Regional - Latin America",0.00133651844007397,5.19480409348841e-11
"industryBanks - Regional - US",6.02098159874685e-11,5.69763803644391e-17
"industryBeverages - Soft Drinks",1.10787947061355e-10,7.27544160931269e-17
"industryBeverages - Wineries & Distilleries",0.000488296185370893,0.000488296302246308
"industryBiotechnology",0.159829368285993,0.114998100614346
"industryBroadcasting - Radio",0.000669616316085429,2.02131494750426e-12
"industryBuilding Materials",0.00335890230662094,0.00252065799176452
"industryBusiness Equipment",0.000981335331840477,3.38336370613275e-14
"industryBusiness Services",0.00219952973233274,0.000831799972799479
"industryCapital Markets",0.00195814430506783,0.00159416158488645
"industryChemicals",0.000882555746829619,0.000882555745714099
"industryCoal",NA,3.48142312861443e-14
"industryCommunication Equipment",0.00447630320723815,0.00168665442966021
"industryComputer Distribution",3.81926929709714e-13,0.00102323935965143
"industryComputer Systems",0.000689021952236935,0.00197799788233886
"industryConfectioners",0.000486729772654987,0.00103867886272765
"industryConglomerates",9.82602294062818e-14,1.15765983793423e-16
"industryConsumer Electronics",0.000427564163504914,0.0016787250878508
"industryContract Manufacturers",1.14438541053701e-13,1.17477459433968e-16
"industryCopper",0.000387178798883439,0.000387178802611878
"industryCredit Services",0.00812376519874561,0.00703701687628216
"industryData Storage",3.34683917218008e-17,1.6412204350636e-14
"industryDiagnostics & Research",0.00485935068926861,0.00472593066077287
"industryDiscount Stores",0.000408896261319451,0.000408896266895506
"industryDiversified Industrials",0.0037121486110247,0.00234784007179231
"industryDrug Manufacturers - Major",0.00421007138084881,0.000852594858613678
"industryDrug Manufacturers - Specialty & Generic",0.00523537829427008,0.00561821486189039
"industryEducation & Training Services",1.11893453206189e-12,0.000298369684594116
"industryElectronic Components",0.00131374196881825,0.00130968789621652
"industryElectronic Gaming & Multimedia",0.00164774182125217,0.00222038385527106
"industryEngineering & Construction",0.000680996526131817,0.00235434008723642
"industryFarm & Construction Equipment",2.11952479619233e-15,2.17077768851211e-13
"industryFarm Products",0.000717954551074913,0.000796566700314734
"industryFinancial Exchanges",6.35608863927136e-13,3.83497774377371e-15
"industryFood Distribution",1.04118415314353e-13,1.07242098017502e-16
"industryFootwear & Accessories",0.000871857412251679,0.000783036465436039
"industryGambling",0.000519701872857694,0.000519701873559267
"industryGold",0.00307799586719171,0.00134972340734747
"industryGrocery Stores",5.75732468525625e-17,3.20853506352819e-14
"industryHealth Care Plans",0.00184590455497797,0.00236763764586504
"industryHealth Information Services",0.00216331980642202,0.00120004122695599
"industryHome Furnishings & Fixtures",0.00112827349007656,0.000979571360116057
"industryHome Improvement Stores",1.15279139956611e-12,0.000881602021743997
"industryHousehold & Personal Products",0.00413683797985824,0.00283805617342492
"industryIndustrial Distribution",1.63773709689374e-12,0.0017202538298734
"industryIndustrial Metals & Minerals",0.00182547019211238,0.000832647229629025
"industryInformation Technology Services",0.00238349822780404,0.00275134783002074
"industryInsurance - Diversified",0.00101487507609765,3.97109169909644e-12
"industryInsurance - Life",1.40038117952723e-13,5.70789808722326e-16
"industryInsurance - Property & Casualty",0.000455906201430697,0.000455906205555871
"industryInsurance - Reinsurance",0.000843283552985212,1.98953018733204e-12
"industryInsurance Brokers",3.62933863766381e-14,4.33142405019954e-17
"industryIntegrated Shipping & Logistics",0.00202163330482947,7.70121777768276e-13
"industryInternet Content & Information",0.0129689472275605,0.017329645038179
"industryLeisure",0.00243648379470718,0.00475269566808032
"industryLodging",0.000486952692406923,0.000486952693681239
"industryLumber & Wood Production",3.53699893380683e-14,4.0497427365462e-17
"industryLuxury Goods",0.000590785923028858,1.06319425492759e-12
"industryMedia - Diversified",0.00182894580200343,0.00147180088668015
"industryMedical Care",0.000915263636255511,0.00145814363560788
"industryMedical Devices",0.00722507058746863,0.00587856826762352
"industryMedical Distribution",0.00131990499147033,2.02507867343737e-14
"industryMedical Instruments & Supplies",0.00326521578984068,0.000924142990039978
"industryOil & Gas Drilling",0.00101289032023067,0.000795386892465299
"industryOil & Gas E&P",0.113633322069499,0.0771064925344823
"industryOil & Gas Equipment & Services",0.00246159409609273,0.00316166075371103
"industryOil & Gas Integrated",0.00273647742702288,0.002398478264723
"industryOil & Gas Midstream",0.00369251788582641,0.00438905469154221
"industryOil & Gas Refining & Marketing",0.00148217003708439,0.000816498195068868
"industryPackaged Foods",0.000526238123359873,0.000526238124688391
"industryPackaging & Containers",0.00105194240175016,4.0995289137891e-12
"industryPaper & Paper Products",0.000421320007762529,0.000421320010852105
"industryPay TV",0.00164440792699683,0.00117699367378806
"industryPersonal Services",1.85819587136338e-12,0.00216188480377865
"industryPharmaceutical Retailers",0.00112304752060567,2.63182807571321e-12
"industryPublishing",0,0
"industryRailroads",0.00241138373009502,0.000917119891783172
"industryReal Estate Services",0.000895148754696741,1.48919233636686e-13
"industryRecreational Vehicles",0.000497734803921255,0.00049773480606498
"industryREIT - Diversified",1.66540506382242e-13,4.46942336432159e-17
"industryREIT - Healthcare Facilities",0.000837821401776979,4.59917283369284e-12
"industryREIT - Hotel & Motel",3.74263529613488e-14,4.54814586836523e-17
"industryREIT - Industrial",1.52889717277251e-13,2.13935969622701e-16
"industryREIT - Office",2.54235298868413e-14,3.21666526840653e-17
"industryREIT - Residential",0.000922367698095919,0.00092236769876749
"industryREIT - Retail",0.000905477576858406,0.00148591995628118
