,Underlying,timestamp,quarter
0,A,2017-08-16,2017-10-31
1,A,2017-11-21,2018-01-31
2,A,2018-02-15,2018-04-30
3,A,2018-05-15,2018-07-31
6,AA,2017-11-20,2018-03-31
7,AA,2018-01-18,2018-06-30
13,AAL,2017-07-28,2017-09-30
14,AAL,2017-10-26,2017-12-31
17,AAOI,2017-08-04,2017-09-30
18,AAOI,2017-11-08,2017-12-31
19,AAOI,2018-02-22,2018-03-31
20,AAOI,2018-05-09,2018-06-30
25,AAPL,2017-08-02,2017-09-30
27,AAPL,2018-02-02,2018-03-31
28,AAPL,2018-05-02,2018-06-30
29,AAXN,2017-08-09,2017-09-30
30,AAXN,2017-11-08,2017-12-31
31,AAXN,2018-02-28,2018-03-31
32,AAXN,2018-05-09,2018-06-30
33,ABX,2017-07-27,2017-09-30
34,ABX,2017-10-26,2017-12-31
35,ABX,2018-02-15,2018-03-31
36,ABX,2018-04-24,2018-06-30
37,ACAD,2017-08-09,2017-09-30
38,ACAD,2017-11-08,2017-12-31
39,ACAD,2018-02-28,2018-03-31
40,ACAD,2018-05-04,2018-06-30
45,ACN,2017-12-21,2017-08-31
46,ACN,2018-03-22,2017-11-30
49,ACRX,2017-08-03,2017-09-30
50,ACRX,2017-11-10,2017-12-31
51,ACRX,2018-03-08,2018-03-31
52,ACRX,2018-05-10,2018-06-30
61,ADM,2017-08-01,2017-09-30
62,ADM,2017-10-31,2017-12-31
63,ADM,2018-02-06,2018-03-31
64,ADM,2018-05-01,2018-06-30
65,ADMP,2017-11-15,2017-09-30
66,ADMP,2018-04-02,2017-12-31
69,ADP,2017-07-27,2017-09-30
70,ADP,2017-11-02,2017-12-31
71,ADP,2018-01-31,2018-03-31
72,ADP,2018-05-02,2018-06-30
73,ADRO,2017-08-04,2017-09-30
75,ADRO,2018-05-03,2018-03-31
77,ADSK,2017-08-25,2017-10-31
79,ADSK,2018-03-07,2018-04-30
80,ADSK,2018-05-25,2018-07-31
85,AEM,2017-07-27,2017-09-30
86,AEM,2017-10-26,2017-12-31
87,AEM,2018-02-15,2018-03-31
88,AEM,2018-04-27,2018-06-30
93,AEP,2017-07-27,2017-09-30
94,AEP,2017-10-26,2017-12-31
95,AEP,2018-01-25,2018-03-31
96,AEP,2018-04-26,2018-06-30
100,AERI,2018-05-09,2018-06-30
101,AES,2017-08-08,2017-09-30
103,AES,2018-02-27,2018-03-31
104,AES,2018-05-08,2018-06-30
