Symbol,Name,Last,Change,%Chg,Options Vol.,% Call Options,% Put Options,Time,Call/Put
ISBC,Investors Bancorp,13.54,0.09,0.67%,10103,100.00%,0.00%,09:55 ET,#DIV/0!
RWT,Redwood Trust,16.63,0.06,0.36%,3005,100.00%,0.00%,09:55 ET,#DIV/0!
CHUY,Chuy's Holdings Inc,31.55,0.35,1.12%,1570,100.00%,0.00%,09:41 ET,#DIV/0!
MEIP,Mei Pharma Inc,4.27,0.02,0.47%,851,100.00%,0.00%,09:54 ET,#DIV/0!
BLMN,Bloomin' Brands Inc,22.12,-0.45,-1.99%,736,100.00%,0.00%,09:56 ET,#DIV/0!
ANW,Aegean Marine Petroleum Network,0.79,-0.01,-1.25%,716,100.00%,0.00%,09:54 ET,#DIV/0!
SBGL,Sibanye Gold Limited American D,2.86,0.07,2.51%,534,100.00%,0.00%,09:56 ET,#DIV/0!
INSM,Insmed Inc,26.9,-0.01,-0.04%,927,99.90%,0.10%,09:56 ET, 999.00 
CATM,Cardtronics Inc,26.98,0.97,3.73%,2532,99.80%,0.20%,09:56 ET, 499.00 
ELY,Callaway Golf Company,20.39,0.05,0.25%,852,99.80%,0.20%,09:56 ET, 499.00 
SRG,Seritage Growth Properties Cla,43.75,0.5,1.16%,618,99.80%,0.20%,09:53 ET, 499.00 
VVUS,Vivus Inc,0.77,-0.02,-2.53%,572,99.80%,0.20%,09:43 ET, 499.00 
RFP,Resolute Forest Products Inc,10,0.25,2.56%,1437,99.70%,0.30%,09:56 ET, 332.33 
FN,Fabrinet,36.97,-0.16,-0.43%,759,99.70%,0.30%,09:53 ET, 332.33 
MTG,Mgic Investment Corp,11.47,0.1,0.88%,4795,99.60%,0.40%,09:56 ET, 249.00 
TRQ,Turquoise Hill Resources Ltd,2.82,0.02,0.71%,1164,99.60%,0.40%,09:44 ET, 249.00 
TLGT,Teligent,3.76,-0.03,-0.79%,788,99.60%,0.40%,09:51 ET, 249.00 
GDEN,Golden Entmt,29.5,-0.11,-0.37%,3196,99.40%,0.60%,09:30 ET, 165.67 
SENS,Senseonics Holdings,4.72,-0.26,-5.22%,1684,99.40%,0.60%,09:56 ET, 165.67 
EGC,Energy Xxi Gulf Coast Inc,9.06,0.11,1.23%,661,99.40%,0.60%,09:56 ET, 165.67 
CECO,Career Education,16.33,0.03,0.18%,526,99.40%,0.60%,09:52 ET, 165.67 
AGI,Alamos Gold Inc,5.62,0.02,0.36%,1349,99.30%,0.70%,09:56 ET, 141.86 
DS,Drive Shack Inc,7.93,-0.07,-0.88%,697,99.30%,0.70%,09:56 ET, 141.86 
MPLX,Mplx LP,35.54,0.54,1.54%,2419,99.20%,0.80%,09:54 ET, 124.00 
SPPI,Spectrum Pharma Inc,19.26,-0.39,-1.98%,2326,99.10%,0.90%,09:56 ET, 110.11 
CIT,Cit Group Inc [Del],51.74,0.88,1.73%,1931,99.00%,1.00%,09:56 ET, 99.00 
COTV,Cotiviti Holdings,44.18,0.08,0.18%,492,99.00%,1.00%,09:53 ET, 99.00 
BGCP,Bgc Partners Cl A,12.57,-0.07,-0.55%,3537,98.90%,1.10%,09:56 ET, 89.91 
BMS,Bemis Company,41.35,0.23,0.56%,1127,98.80%,1.20%,09:56 ET, 82.33 
NBL,Noble Energy Inc,36.85,1.89,5.41%,3661,98.60%,1.40%,09:56 ET, 70.43 
ENPH,Enphase Energy Inc,6.42,0.2,3.22%,4885,98.40%,1.60%,09:56 ET, 61.50 
TSEM,Tower Semiconductor,22.58,0.43,1.94%,1206,98.30%,1.70%,09:56 ET, 57.82 
QSII,Quality Systems Inc,20.14,-0.11,-0.54%,543,98.30%,1.70%,09:54 ET, 57.82 
BSTI,Best Inc ADR,11.99,0.06,0.50%,713,98.20%,1.80%,09:55 ET, 54.56 
TTGT,Techtarget Inc,28.31,-0.52,-1.80%,610,98.20%,1.80%,09:56 ET, 54.56 
PENN,Penn Natl Gaming Inc,34.93,0.27,0.78%,15733,97.90%,2.10%,09:56 ET, 46.62 
MNKD,Mannkind Corp,1.93,-0.03,-1.53%,7139,97.90%,2.10%,09:53 ET, 46.62 
SYK,Stryker Corp,171.22,1.41,0.83%,6918,97.80%,2.20%,09:55 ET, 44.45 
MRNS,Marinus Pharma CS,6.61,0.04,0.61%,1661,97.70%,2.30%,09:52 ET, 42.48 
AIT,Applied Industrial Technologies,75,0.6,0.81%,504,97.60%,2.40%,09:56 ET, 40.67 
PAM,Pampa Energia S.A.,43.84,-0.86,-1.92%,571,97.40%,2.60%,09:53 ET, 37.46 
ZOES,Zoe's Kitchen Inc,9.38,-0.02,-0.21%,803,97.30%,2.70%,09:56 ET, 36.04 
KRG,Kite Realty Group Trust,17.44,0.04,0.23%,667,97.30%,2.70%,09:56 ET, 36.04 
GDI,Gardner Denver Holdings Inc,28.84,0.92,3.30%,2116,97.20%,2.80%,09:56 ET, 34.71 
MUSA,Murphy USA Inc,80.48,0.28,0.35%,807,96.90%,3.10%,09:50 ET, 31.26 
CLNE,Clean Energy Fuels,3.24,0.08,2.53%,493,96.80%,3.20%,09:55 ET, 30.25 
GNC,GNC Holdings Inc,4.2,0.08,1.94%,2924,96.50%,3.50%,09:56 ET, 27.57 
JNPR,Juniper Networks,26.81,-0.11,-0.41%,2541,96.50%,3.50%,09:56 ET, 27.57 
GPOR,Gulfport Energy Corp,11.51,0.1,0.88%,2459,96.50%,3.50%,09:56 ET, 27.57 
SN,Sanchez Energy Corp,4.32,0.29,7.20%,2071,96.40%,3.60%,09:56 ET, 26.78 
AON,AON Plc,137.61,1.06,0.78%,1238,96.40%,3.60%,09:56 ET, 26.78 
OAS,Oasis Petroleum Inc,13.52,0.89,7.05%,5386,96.30%,3.70%,09:56 ET, 26.03 
CHRS,Coherus Bio,16.25,-0.05,-0.31%,1115,96.30%,3.70%,09:55 ET, 26.03 
WAL,Western Alliance Bancorporation,61.09,0.12,0.20%,617,96.30%,3.70%,09:55 ET, 26.03 
BERY,Berry Global Group,46.4,0.17,0.37%,515,96.30%,3.70%,09:56 ET, 26.03 
AIMT,Aimmune Therap,27.76,0.19,0.69%,2742,95.90%,4.10%,09:54 ET, 23.39 
NAV,Navistar International Corp,42.11,1.11,2.71%,2379,95.90%,4.10%,09:56 ET, 23.39 
FC,Franklin Covey Company,29,0.2,0.69%,1169,95.90%,4.10%,09:52 ET, 23.39 
AGEN,Agenus Inc,2.52,0.02,0.80%,708,95.60%,4.40%,09:55 ET, 21.73 
SNH,Senior Housing Properties Trust,17.94,0.04,0.22%,609,95.60%,4.40%,09:56 ET, 21.73 
KEY,Keycorp,20.77,0.1,0.48%,8673,95.30%,4.70%,09:56 ET, 20.28 
FND,Floor & Decor Holdings Inc,50.19,-0.24,-0.48%,3356,95.20%,4.80%,09:53 ET, 19.83 
WRK,Westrock Company,58.04,0.6,1.04%,2447,95.20%,4.80%,09:56 ET, 19.83 
HYH,Halyard Health Inc,60.14,0.62,1.04%,665,95.20%,4.80%,09:55 ET, 19.83 
SBGI,Sinclair Brdcst A,32.65,0.35,1.08%,605,95.20%,4.80%,09:52 ET, 19.83 
BWP,Boardwalk Pipeline Partners LP,10.23,0.06,0.59%,2737,95.00%,5.00%,09:56 ET, 19.00 
PKG,Packaging Corporation of America,114.86,0.72,0.63%,1590,95.00%,5.00%,09:52 ET, 19.00 
AU,Anglogold Ashanti Ltd,8.31,0.08,0.97%,619,95.00%,5.00%,09:54 ET, 19.00 
R,Ryder System,73.76,0.69,0.94%,570,94.90%,5.10%,09:53 ET, 18.61 
IMGN,Immunogen Inc,11.55,-0.13,-1.11%,1600,94.60%,5.40%,09:56 ET, 17.52 
EVRI,Everi Holdings Inc,7.61,-0.03,-0.39%,1352,94.20%,5.80%,09:54 ET, 16.24 
ECA,Encana Corp,12.67,0.48,3.94%,12182,94.10%,5.90%,09:56 ET, 15.95 
CF,Cf Industries Holdings,45.8,0.89,1.98%,16903,94.00%,6.00%,09:56 ET, 15.67 
RAD,Rite Aid Corp,1.96,-0.01,-0.51%,7733,93.80%,6.20%,09:56 ET, 15.13 
CTXS,Citrix Systems Inc,105.2,-1.93,-1.80%,3886,93.80%,6.20%,09:56 ET, 15.13 
MIK,The Michaels Comp,19.23,0.06,0.31%,3038,93.80%,6.20%,09:56 ET, 15.13 
SGMS,Scientific Games,53.55,-0.25,-0.46%,2255,93.80%,6.20%,09:52 ET, 15.13 
ENV,Envestnet Inc,57.95,-0.15,-0.26%,1730,93.80%,6.20%,09:50 ET, 15.13 
BG,Bunge Ltd,71.46,0.41,0.58%,8162,93.60%,6.40%,09:56 ET, 14.63 
MUR,Murphy Oil Corp,35.5,1.34,3.92%,2223,93.60%,6.40%,09:56 ET, 14.63 
BHVN,Biohaven Pharmaceutical Holding Company Ltd,39.96,-0.19,-0.47%,595,93.60%,6.40%,09:56 ET, 14.63 
AZN,Astrazeneca Plc,35.02,-0.13,-0.37%,5472,93.30%,6.70%,09:56 ET, 13.93 
BBT,BB&T Corp,52.18,0.12,0.23%,4342,93.30%,6.70%,09:56 ET, 13.93 
ADMP,Adamis Pharmaceuticl,3.53,-0.04,-1.12%,2186,93.30%,6.70%,09:41 ET, 13.93 
ALLY,Ally Financial,26.81,0.6,2.29%,8914,93.20%,6.80%,09:55 ET, 13.71 
SRE,Sempra Energy,114.04,0.95,0.84%,1154,93.20%,6.80%,09:56 ET, 13.71 
SFIX,Stitch Fix Inc,28.79,-0.08,-0.28%,16440,93.00%,7.00%,09:56 ET, 13.29 
BURL,Burlington Stores Inc,151.69,-0.5,-0.33%,684,93.00%,7.00%,09:55 ET, 13.29 
AKAO,Achaogen Inc,12.46,0.01,0.08%,3811,92.90%,7.10%,09:55 ET, 13.08 
TIVO,Tivo Corp,14.2,-0.05,-0.35%,1176,92.90%,7.10%,09:56 ET, 13.08 
SFM,Sprouts Farmers Mark,22.75,0.21,0.93%,2726,92.80%,7.20%,09:55 ET, 12.89 
FCAU,Fiat Chrysler Automobiles N.V.,19.48,0.32,1.67%,20710,92.40%,7.60%,09:56 ET, 12.16 
CRTO,Criteo S.A. Ads,32.75,-0.16,-0.49%,4890,92.40%,7.60%,09:56 ET, 12.16 
