Ticker,Earnings Date,Position,Implied Move
BIO,"Aug. 7, 2018 AC", 310.00 ,18.1
INGN,"Aug. 7, 2018 AC", 210.00 ,22.1
PXD,"Aug. 7, 2018 AC", 185.00 ,10.25
JAZZ,"Aug. 7, 2018 AC", 175.00 ,9.6
JLL,"Aug. 8, 2018 BO", 170.00 ,7.97
PEN,"Aug. 7, 2018 AC", 145.00 ,16.2
IFF,"Aug. 7, 2018 AC", 135.00 ,6.53
GWPH,"Aug. 7, 2018 AC", 130.00 ,9.3
CRL,"Aug. 8, 2018 BO", 130.00 ,6.7
PRI,"Aug. 7, 2018 AC", 115.00 ,7.72
STE,"Aug. 8, 2018 BO", 115.00 ,5.38
DIS,"Aug. 7, 2018 AC", 114.00 ,4.93
AIZ,"Aug. 7, 2018 AC", 110.00 ,7.95
ENTA,"Aug. 7, 2018 AC", 100.00 ,11.3
NEWR,"Aug. 7, 2018 AC", 100.00 ,11
MIDD,"Aug. 8, 2018 BO", 100.00 ,9.5
ALB,"Aug. 7, 2018 AC", 95.00 ,6.1
XEC,"Aug. 7, 2018 AC", 95.00 ,6.25
ATHM,"Aug. 8, 2018 BO", 95.00 ,8.85
BBSI,"Aug. 7, 2018 AC", 90.00 ,6.7
NP,"Aug. 7, 2018 AC", 90.00 ,4.93
DXC,"Aug. 7, 2018 AC", 87.50 ,4.9
SFLY,"Aug. 7, 2018 AC", 82.50 ,7.75
WB,"Aug. 8, 2018 BO", 81.00 ,7.55
IOSP,"Aug. 7, 2018 AC", 80.00 ,4.92
CHH,"Aug. 8, 2018 BO", 80.00 ,4.97
EBIX,"Aug. 8, 2018 BO", 80.00 ,6.8
SINA,"Aug. 8, 2018 BO", 80.00 ,6.45
NXST,"Aug. 8, 2018 BO", 75.00 ,5.28
LAMR,"Aug. 8, 2018 BO", 72.50 ,3.4
AABA,"Aug. 7, 2018 AC", 71.50 ,3.56
AAXN,"Aug. 7, 2018 AC", 70.00 ,8.75
PLT,"Aug. 7, 2018 AC", 70.00 ,5.7
PRSC,"Aug. 7, 2018 AC", 70.00 ,6.2
QDEL,"Aug. 7, 2018 AC", 70.00 ,7.43
RGNX,"Aug. 7, 2018 AC", 70.00 ,8.6
UVV,"Aug. 7, 2018 AC", 70.00 ,8.18
CUB,"Aug. 8, 2018 BO", 65.00 ,5.2
CVS,"Aug. 8, 2018 BO", 65.00 ,3.42
NOVT,"Aug. 8, 2018 BO", 65.00 ,3.6
KORS,"Aug. 8, 2018 BO", 64.00 ,6.5
CLR,"Aug. 7, 2018 AC", 62.50 ,4.35
CYBR,"Aug. 7, 2018 AC", 62.00 ,4.38
ENV,"Aug. 7, 2018 AC", 60.00 ,5.55
ESE,"Aug. 7, 2018 AC", 60.00 ,4.22
FGEN,"Aug. 7, 2018 AC", 60.00 ,5.9
IPAR,"Aug. 7, 2018 AC", 60.00 ,3.52
KAR,"Aug. 7, 2018 AC", 60.00 ,3.23
NNI,"Aug. 7, 2018 AC", 60.00 ,3.6
QTWO,"Aug. 7, 2018 AC", 60.00 ,4.73
MGA,"Aug. 8, 2018 BO", 60.00 ,2.98
UFCS,"Aug. 8, 2018 BO", 57.00 ,2.58
ORA,"Aug. 7, 2018 AC", 55.00 ,4.3
GVA,"Aug. 8, 2018 BO", 55.00 ,4.15
HRI,"Aug. 8, 2018 BO", 55.00 ,4.95
LITE,"Aug. 8, 2018 BO", 55.00 ,5.57
SUPN,"Aug. 8, 2018 BO", 55.00 ,5.3
CSOD,"Aug. 7, 2018 AC", 50.00 ,4.55
DK,"Aug. 7, 2018 AC", 50.00 ,3.97
NVO,"Aug. 8, 2018 BO", 50.00 ,2.88
SO,"Aug. 8, 2018 BO", 49.00 ,1.54
ALRM,"Aug. 7, 2018 AC", 45.00 ,3.58
DCP,"Aug. 7, 2018 AC", 45.00 ,1.77
FNGN,"Aug. 7, 2018 AC", 45.00 ,0.05
RSPP,"Aug. 7, 2018 AC", 45.00 ,3.6
DLPH,"Aug. 8, 2018 BO", 45.00 ,2.58
LSXMA,"Aug. 8, 2018 BO", 45.00 ,2.7
PZZA,"Aug. 7, 2018 AC", 42.50 ,4.35
TRI,"Aug. 8, 2018 BO", 41.00 ,1.68
PRA,"Aug. 7, 2018 AC", 40.31 ,2.83
BECN,"Aug. 7, 2018 AC", 40.00 ,3.73
BOFI,"Aug. 7, 2018 AC", 40.00 ,3.57
CUTR,"Aug. 7, 2018 AC", 40.00 ,5.08
DXPE,"Aug. 7, 2018 AC", 40.00 ,5.7
MMI,"Aug. 7, 2018 AC", 40.00 ,1.88
AAOI,"Aug. 7, 2018 AC", 39.50 ,5.64
MYL,"Aug. 8, 2018 BO", 38.50 ,2.57
MTCH,"Aug. 7, 2018 AC", 38.00 ,4
PRAA,"Aug. 7, 2018 AC", 37.50 ,3.92
PTCT,"Aug. 7, 2018 AC", 37.50 ,3.83
CAR,"Aug. 7, 2018 AC", 36.00 ,3.5
ANDE,"Aug. 7, 2018 AC", 35.00 ,1.92
ARTNA,"Aug. 7, 2018 AC", 35.00 ,2.25
DIOD,"Aug. 7, 2018 AC", 35.00 ,3.1
GGAL,"Aug. 7, 2018 AC", 35.00 ,3.35
POWL,"Aug. 7, 2018 AC", 35.00 ,3.27
CNK,"Aug. 8, 2018 BO", 35.00 ,1.67
FWONA,"Aug. 8, 2018 BO", 35.00 ,1.6
FWONK,"Aug. 8, 2018 BO", 35.00 ,2.78
TRCO,"Aug. 8, 2018 BO", 35.00 ,2.83
WWW,"Aug. 8, 2018 BO", 35.00 ,2.65
