Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
VKTX,9.99,Call,5.00,06/15/18,9,4.70,4.95,5.20,4.70,1009,12046,0.08,292.54%,"10:39 ET"
SIG,43.62,Put,35.00,06/08/18,2,0.40,0.48,0.55,0.43,2803,6310,0.44,262.33%,"11:43 ET"
SIG,43.62,Call,45.00,06/08/18,2,2.60,2.65,2.70,2.65,1568,219,7.16,248.68%,"11:43 ET"
HMNY,0.41,Call,1.00,08/17/18,72,0.05,0.08,0.10,0.05,631,12090,0.05,245.73%,"10:43 ET"
GNW,3.57,Put,3.00,06/15/18,9,0.22,0.24,0.25,0.25,1202,34664,0.03,226.89%,"11:32 ET"
ASNA,3.89,Call,2.50,06/15/18,9,1.25,1.3,1.35,1.25,1730,6139,0.28,194.28%,"10:27 ET"
SNAP,12.85,Call,10.00,06/08/18,2,2.82,2.85,2.88,2.74,1527,1606,0.95,181.70%,"10:26 ET"
SHLD,2.32,Call,2.50,06/08/18,2,0.03,0.06,0.08,0.04,672,228,2.95,180.66%,"11:14 ET"
GERN,3.97,Put,4.00,06/15/18,9,0.35,0.4,0.45,0.38,570,3922,0.15,156.81%,"11:40 ET"
GERN,3.97,Put,4.00,09/21/18,107,1.25,1.3,1.35,1.29,520,2483,0.21,155.90%,"10:25 ET"
GERN,3.97,Call,4.50,07/20/18,44,0.50,0.58,0.65,0.64,642,655,0.98,138.61%,"11:14 ET"
FIVE,78.87,Call,77.00,06/08/18,2,4.00,4.2,4.40,4.30,1993,2177,0.92,136.56%,"11:40 ET"
FIVE,78.87,Call,80.00,06/08/18,2,2.50,2.65,2.80,2.75,619,1637,0.38,134.60%,"11:40 ET"
JCP,2.55,Call,2.00,06/15/18,9,0.55,0.56,0.57,0.57,915,1985,0.46,131.19%,"11:40 ET"
MDXG,8.25,Put,7.50,07/20/18,44,1.00,1.05,1.10,1.10,5258,2146,2.45,130.34%,"11:11 ET"
SIG,43.62,Put,40.00,06/15/18,9,1.65,1.73,1.80,1.68,1298,895,1.45,124.46%,"11:24 ET"
ASNA,3.89,Call,3.00,06/15/18,9,0.70,0.8,0.90,0.78,604,2846,0.21,123.13%,"10:25 ET"
SFIX,19.02,Put,21.00,06/15/18,9,2.35,2.63,2.90,2.50,539,1576,0.34,121.57%,"11:42 ET"
SIG,43.62,Call,47.00,06/15/18,9,2.00,2.05,2.10,2.06,872,181,4.82,121.33%,"11:44 ET"
