,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,0.24763799104922923,0.001596806387225591,0.12662775033677587,0.11958946898705936,-0.028296148150502028,ABB,5081000000,-203000000,11000000,3649000000,-1369000000,-65000000,-73000000,-24000000,50000000,160000000,24.39,188000000,6087000000,1022000000,,287000000,-5000000,-1717000000,862000000,,59000000,0.34,0.03,0.31,,11180000000,2637000000,854000000,246000000,2649000000,-104000000,5306000000,-48000000,6928000000,224000000,1,509000000,509000000,-103000000,571000000,571000000,608000000,10738000000,415000000,,24.26,862000000,1579000000,-4000000,66000000,627000000,9893000000,,4788000000,5000000,-4418000000,5180000000,2017-09-30,359000000,19201000000,1411000000,7892000000,998000000,0.096999995,2017-07-20,42407000000,-107000000,954000000,-2275000000,21595000000,15805000000,27654000000,7862000000,-8000000,8724000000,14244000000,-5156000000
1,0.13132911392405044,0.017690117934119565,0.07173447537473221,0.020179372197309364,0.01605425423274395,ABB,5419000000,-329000000,29000000,4526000000,877000000,239000000,268000000,229000000,-110000000,402000000,25.43,188000000,6512000000,1250000000,,213000000,-5000000,-1717000000,933000000,,29000000,0.33,0.04,0.29,,11199000000,2768000000,581000000,158000000,2581000000,-32000000,5059000000,-214000000,6573000000,272000000,1,530000000,530000000,-486000000,393000000,393000000,423000000,10416000000,1039000000,,25.58,933000000,1908000000,2000000,-19000000,647000000,6886000000,,4927000000,-106000000,-4345000000,5363000000,2017-12-31,398000000,19594000000,1543000000,7453000000,1102000000,0.138,2017-10-26,43262000000,-407000000,1869000000,-614000000,21939000000,16273000000,27913000000,8347000000,-352000000,9280000000,14819000000,-4992000000
2,0.1147121535181237,-0.04876273653566232,-0.0053272450532724225,0.12140712140712151,-0.07340196518199488,ABB,5301000000,-238000000,39000000,4162000000,-364000000,-304000000,-249000000,-214000000,88000000,-658000000,24.29,188000000,5919000000,1060000000,,285000000,-5000000,-1717000000,925000000,,63000000,0.31,0.0,0.31,,11266000000,2708000000,840000000,235000000,2575000000,-136000000,5609000000,384000000,5132000000,190000000,1,549000000,549000000,176000000,572000000,572000000,605000000,10872000000,-446000000,,25.04,925000000,1787000000,8000000,-3000000,607000000,11595000000,,4957000000,-10000000,-4178000000,5440000000,2018-03-31,353000000,18239000000,1440000000,7772000000,740000000,0.0,2018-02-08,43569000000,-64000000,-518000000,155000000,22311000000,19372000000,29625000000,7702000000,-85000000,8627000000,13395000000,-5071000000
3,0.057232987832356974,-0.019230769230769273,-0.15913978494623648,-0.06047256708049653,0.033944176513180595,ABB,5933000000,-197000000,26000000,3283000000,-879000000,-144000000,-198000000,432000000,79000000,-71000000,24.27,188000000,6160000000,1033000000,,280000000,8000000,-1717000000,999000000,,-118000000,0.38,0.03,0.35,,12402000000,2729000000,973000000,264000000,2959000000,-62000000,5934000000,-2000000,6489000000,191000000,1,553000000,553000000,2871000000,681000000,681000000,709000000,11282000000,-1735000000,,24.48,999000000,1675000000,-123000000,-149000000,730000000,9666000000,,4959000000,-20000000,-4683000000,5621000000,2018-06-30,346000000,18919000000,1404000000,10454000000,794000000,0.086,2018-04-19,45191000000,1071000000,1010000000,-2842000000,22343000000,19385000000,31012000000,7890000000,-26000000,8889000000,13626000000,-5507000000
0,0.10523882896764247,-0.01631925397696099,0.08566671711820817,0.1707197649747021,-0.018147786510337792,ABBV,9015000000,-126000000,14154000000,8446000000,2358000000,4000000,-120000000,974000000,297000000,106000000,70.44,18000000,1616000000,,,379000000,,-1026000000,2705000000,,6000000,1.41,0.02,1.39,,15748000000,5379000000,2095000000,464000000,28167000000,-293000000,1785000000,97000000,34269000000,1971000000,1,,,395000000,1631000000,1623000000,1631000000,4891000000,-37228000000,,71.64,2705000000,1327000000,-239000000,,1353000000,197000000,,14851000000,500000000,-2613000000,2697000000,2017-09-30,1222000000,6547000000,1452000000,38090000000,1108000000,0.0139999995,2017-07-28,68840000000,-810000000,3271000000,-109000000,18930000000,13033000000,62153000000,4290000000,-610000000,6995000000,6687000000,-14032000000
1,0.4677155031137332,0.006744604316546887,0.2714366837024418,0.3582044282681227,0.026118626145109236,ABBV,1474000000,-182000000,14270000000,9303000000,857000000,-228000000,212000000,-19000000,2294000000,-96000000,91.93,18000000,1926000000,,,369000000,,-1030000000,2733000000,,15000000,1.48,0.04,1.44,,15785000000,5813000000,1193000000,1141000000,27559000000,-299000000,1605000000,511000000,30953000000,2090000000,1,,,-408000000,52000000,52000000,52000000,7188000000,-38247000000,,92.7,2733000000,1326000000,-25000000,,1423000000,4406000000,,18095000000,500000000,-2727000000,2803000000,2017-12-31,1402000000,5459000000,1678000000,37368000000,486000000,0.027999999,2017-10-27,70786000000,-1928000000,2584000000,201000000,21223000000,16641000000,65689000000,5006000000,-1540000000,7739000000,5097000000,-14650000000
2,0.7644183773216031,0.107928388746803,0.1811538881012107,0.49194103871056605,0.12898506262963197,ABBV,10542000000,-119000000,14519000000,9007000000,-296000000,-681000000,-71000000,191000000,245000000,-267000000,123.21,18000000,1927000000,,,445000000,,-1137000000,3090000000,,15000000,1.87,0.08,1.79,,15880000000,6007000000,2797000000,14000000,27230000000,-309000000,1738000000,44000000,31481000000,2057000000,1,,,-40000000,2783000000,2771000000,2783000000,5841000000,-39557000000,,114.5,3090000000,903000000,37000000,,17000000,125000000,,17250000000,500000000,-2630000000,2828000000,2018-03-31,1244000000,4977000000,1673000000,37872000000,467000000,0.045,2018-01-26,69342000000,-2509000000,2645000000,-447000000,20444000000,17058000000,65789000000,4844000000,-293000000,7934000000,3553000000,-15961000000
3,0.4112135176651308,-0.0015215737419845832,-0.12927684579660692,-0.027933552005078854,0.05886226967821165,ABBV,10337000000,-114000000,14596000000,3547000000,-5460000000,-124000000,-120000000,-179000000,1142000000,-279000000,97.44,18000000,1934000000,,,443000000,,-1531000000,2762000000,,-35000000,2.0,0.03,1.97,,15692000000,6344000000,2012000000,29000000,26903000000,-320000000,1580000000,830000000,31216000000,1505000000,1,,,138000000,1983000000,1973000000,1983000000,5793000000,-45970000000,,94.0,2762000000,909000000,-71000000,,128000000,350000000,,16576000000,500000000,-2639000000,2787000000,2018-06-30,1322000000,5495000000,1760000000,37753000000,196000000,0.015,2018-04-26,61641000000,-8978000000,2866000000,687000000,13845000000,17224000000,65016000000,5516000000,-750000000,8278000000,-3375000000,-23484000000
0,0.020574751202057318,-0.04148288174753201,0.10402806338454096,0.03001918519354474,-0.11064575313216986,ABC,25404042000,-94969000,4517635000,2435115000,1123648000,141203000,398449000,596412000,37666000,430947000,81.71,2806000,37947995000,,,113081000,,-80102000,506808000,,,1.33,0.01,1.32,,6044281000,1172020000,-171541000,173046000,2833281000,-36153000,11461428000,1723000,3781569000,57600000,1,176046000,,7699000,-344587000,-344587000,-344587000,10303324000,-6813101000,,84.11,506808000,280064000,-10864000,-10308000,,,,2652275000,23068000,-95850000,1797945000,2017-09-30,,2395218000,560877000,3793690000,,0.008,2017-08-03,35316470000,-165331000,1380454000,-91475000,24303299000,26818165000,33252009000,38613207000,-678349000,39120015000,2064461000,-4851198000
1,0.0978650236423555,-0.0739666424945612,-0.06229347693060816,-0.11452675372703103,-0.04525296619952458,ABC,25346694000,-73641000,4579809000,3037747000,602632000,91624000,-460127000,-59223000,-787282000,-66916000,73.23,2814000,39353680000,,,109705000,,-83555000,425926000,,,1.55,0.2,1.35,,6076110000,1112652000,359019000,-502834000,2825035000,-37383000,12020660000,,4617259000,,1,176046000,,844193000,861853000,861853000,861853000,10127783000,-6026563000,,77.02,425926000,334816000,-25712000,1648000,,625000000,,2129378000,23068000,-96338000,1829117000,2017-12-31,,3173516000,558522000,4637320000,,0.148,2017-11-02,36361510000,734629000,10326000,-142323000,25296432000,26740291000,33486928000,40040406000,-66907000,40466332000,2874582000,-4881557000
