,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
ABB,0.0016970634,0.18035269,,,10.0,1.109534,,2.0,6.392,,9.0,23.51,1.153,1534291200,73.729,0.305,0.297,4796000256,0.13502,11.938,1.612,57256230912,USD,,1781056134,1.59,14.786163,1565124992,134800.0,,,0.30549,10354000000,0.0,0.05372,Diversified Industrials,,,1514678400,,,,1,86400,,,1530316800,2219000064,1577750400,4,3315000064,0.10504,8.0,2.86,2,3.678035,,0.06242,0.06242,0.793,hold,2.8,0.05444,0.16712,0.051,16.645,,Industrials,1.0,2131779968,0.0011,2435195,1531440000,3809087,,1.17,25.0,21.0,23.18,23.37,,,4081999872,1.915,10453999616,35520000000,1.029,,
ABBV,0.28624582,0.18035269,,,2.0,1.619093,,8.0,-2.229,,2.0,95.98,0.804,1534291200,,0.057,0.036,12954000384,0.4186,13.94,5.835,180576452608,USD,,1513106708,8.94,10.736019,9331999744,30000.0,,,0.76081,21530000000,0.00090000004,0.71535003,Drug Manufacturers - Major,,,1514678400,,,,1,86400,,,1530316800,6418999808,1577750400,20,11365999616,0.36573002,6.0,0.76,2,,,0.2084,0.2084,0.554,buy,2.4,0.10998,4.89673,0.192,19.487,,Healthcare,8.0,1514269952,0.0215,32581503,1531440000,32287034,0.0234,4.5,157.0,78.0,109.45,106.0,,,3743000064,2.472,37752999936,30946000896,4.029,,
ABC,0.13012922,0.18035269,,,1.0,1.097424,,7.0,14.283,,2.0,89.97,0.94,1534291200,145.465,4.435,4.478,2384576000,0.01456,9.243,0.135,22039615488,USD,,158892319,7.15,12.583217,1802472064,19000.0,,,0.028800001,4544607000,0.26514,0.68546,Medical Distribution,,,1506729600,1245110400,2/1,,1,86400,,,1530316800,1080530048,1569801600,14,2126497024,0.011619999,3.0,1.34,2,6.299097,,0.0066000004,0.0066000004,0.504,buy,2.3,0.03261,0.36960998,0.115,748.983,,Healthcare,4.0,216356992,0.0167,3615842,1531440000,4592223,0.0225,2.4,124.68,88.0,99.19,97.5,,,2388928000,11.042,4765353984,163762520064,4.876,,
ABEO,0.049295783,0.18035269,,,2.0,1.480392,,9.0,3.4,,10.0,15.4,21.066,1534291200,,,,-33994000,0.0,-17.489,154.379,594512960,USD,,29301018,-0.85,-18.117645,-20714376,42.0,,,-1.0960801,837000,0.34543,0.76681,Biotechnology,,,1514678400,1414108800,1/50,,1,86400,,,1530316800,-33956000,1577750400,10,-25200000,-9.02155,9.0,,2,4.5294113,,0.0,0.0,20.731,buy,1.8,-0.1649,-0.27166,2.774,0.085,,Healthcare,8.0,47943300,0.255,12227879,1531440000,13123166,0.4628,24.16,36.0,23.0,28.98,28.5,,,119842000,2.5,0,3851000,-0.753,,
ABMD,1.7146368,0.18035269,,,2.0,-0.17136,,4.0,16.119,,5.0,406.58,6.486,1534291200,,1.378,1.41,183220992,0.28570998,96.503,27.572,17681448960,USD,,43893901,4.88,83.31557,82787000,1143.0,,,0.83225995,495168000,0.04223,0.87209,Medical Devices,,,1522454400,970444800,2/1,,1,86400,,,1530316800,164862000,1585612800,9,202883008,0.26777,5.0,2.8,2,25.22365,,0.25708,0.25708,5.582,buy,1.7,0.14659001,0.25552,0.359,14.471,,Healthcare,7.0,44877200,0.020299999,766271,1531440000,735371,,1.26,515.0,370.0,449.22,448.0,,,360516000,8.033,0,641291008,3.587,,
ABMD,1.7146368,0.18035269,,,2.0,-0.17136,,4.0,16.119,,5.0,406.58,6.486,1534291200,,1.378,1.41,183220992,0.28570998,96.503,27.572,17681448960,USD,,43893901,4.88,83.31557,82787000,1143.0,,,0.83225995,495168000,0.04223,0.87209,Medical Devices,,,1522454400,970444800,2/1,,1,86400,,,1530316800,164862000,1585612800,9,202883008,0.26777,5.0,2.8,2,25.22365,,0.25708,0.25708,5.582,buy,1.7,0.14659001,0.25552,0.359,14.471,,Healthcare,7.0,44877200,0.020299999,766271,1531440000,735371,,1.26,515.0,370.0,449.22,448.0,,,360516000,8.033,0,641291008,3.587,,
ABR,0.49753082,0.18035269,,,,0.081479,,,9.924,,,12.26,7.061,1534291200,333.394,0.215,0.379,,0.0,,12.431,4214076416,USD,,63237814,1.09,11.247706,,445.0,,,0.87059,215828000,0.241,0.56406,REIT - Diversified,,,1514678400,1346284800,1/10,,1,86400,,,1530316800,81648000,1577750400,3,172684992,0.41493,,1.12,2,1.235389,,0.26313,0.26313,6.087,hold,2.8,0.03276,0.13128,0.128,5.403,,Real Estate,,75390800,0.105399996,7944070,1531440000,9237355,0.1488,4.5,12.0,11.0,11.42,11.25,,,109089000,1.447,3145615872,339006016,1.274,,
ABT,0.31334507,0.18035269,,,2.0,1.746748,,7.0,17.43,,8.0,66.84,1.578,1534291200,67.914,1.595,1.59,6840000000,0.23128,19.796,4.578,135407476736,USD,,1740354902,3.24,20.62963,5040999936,99000.0,,,0.58428,15972000000,0.00719,0.74531,Medical Devices,,,1514678400,1357084800,10000/4798,,1,86400,,,1530316800,812000000,1577750400,16,5997000192,0.119729996,7.0,1.93,2,3.8347673,,0.03131,0.03131,0.945,buy,1.8,0.03171,0.02634,0.17,16.892,,Healthcare,7.0,1754320000,0.0066000004,11652061,1531440000,11803752,0.0068,2.3,76.0,66.0,71.13,72.0,,,3264000000,1.861,20899999744,29575000064,0.522,,
AMTD,0.3802353,0.18035269,,,1.0,1.426188,,6.0,13.972,,7.0,58.57,1.131,1534291200,33.178,0.806,0.952,,0.0,,6.026,29781379072,USD,,272080569,3.94,14.865482,,9912.0,,,0.92695,3325000000,0.09184,0.92114997,Capital Markets,,,1506729600,931219200,3/1,,1,86400,,,1530316800,1230000000,1569801600,14,110000000,0.41926,6.0,0.57,2,4.191955,,0.24889,0.24889,1.128,buy,2.1,0.03638,0.18364,0.486,8.853,,Financial Services,8.0,567649984,0.019199999,10905041,1531440000,7919152,0.0414,5.07,77.0,60.0,68.32,68.25,,,6150000128,10.834,2632999936,4942000128,2.19,,
AMTD,0.3802353,0.18035269,,,1.0,1.426188,,6.0,13.972,,7.0,58.57,1.131,1534291200,33.178,0.806,0.952,,0.0,,6.026,29781379072,USD,,272080569,3.94,14.865482,,9912.0,,,0.92695,3325000000,0.09184,0.92114997,Capital Markets,,,1506729600,931219200,3/1,,1,86400,,,1530316800,1230000000,1569801600,14,110000000,0.41926,6.0,0.57,2,4.191955,,0.24889,0.24889,1.128,buy,2.1,0.03638,0.18364,0.486,8.853,,Financial Services,8.0,567649984,0.019199999,10905041,1531440000,7919152,0.0414,5.07,77.0,60.0,68.32,68.25,,,6150000128,10.834,2632999936,4942000128,2.19,,
