Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry
PIH,"1347 Property Insurance Holdings, Inc.",6.85,40995647.1,n/a,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",25.9385,0,n/a,n/a,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.28,70957161.36,n/a,n/a,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",11.85,765557672.6,n/a,1999,Consumer Services,Other Specialty Stores
FCCY,1st Constitution Bancorp (NJ),21.25,178061017.5,n/a,n/a,Finance,Savings Institutions
SRCE,1st Source Corporation,55.88,1450928503,n/a,n/a,Finance,Major Banks
VNET,"21Vianet Group, Inc.",10.53,648700165.6,61604954,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",87.3,5013189405,n/a,2014,Technology,Computer Software: Prepackaged Software
TPNL,"3PEA International, Inc.",3.32,144986939.8,n/a,n/a,Miscellaneous,Business Services
JOBS,"51job, Inc.",75.7,2758218145,36436171,2004,Technology,Diversified Commercial Services
EGHT,8x8 Inc,22.5,2099742480,n/a,n/a,Public Utilities,Telecommunications Equipment
AVHI,"A V Homes, Inc.",21.55,481890562.1,n/a,n/a,Capital Goods,Homebuilding
AAON,"AAON, Inc.",40.85,2135015650,n/a,n/a,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,15.35,735929424.8,n/a,n/a,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,10.5,0,n/a,n/a,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,3.9775,13144352.77,n/a,2014,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",402.03,18041964635,n/a,n/a,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,2.28,380106454,n/a,n/a,Energy,Oil & Gas Production
ACIU,AC Immune SA,8.54,575277372.6,n/a,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",39.85,1615925350,n/a,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,3.85,190555996.4,n/a,n/a,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",40.62,3585705031,n/a,n/a,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,14.42,1802596946,n/a,2004,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",0.4935,18075949.09,n/a,n/a,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",23.8,1288246162,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,53.27,2450551417,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,26.72,555707677,n/a,n/a,Finance,Savings Institutions
ARAY,Accuray Incorporated,4.1,354601046,n/a,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",3,181799742,n/a,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,32.1,322700914.8,n/a,n/a,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,3.46,106526632.2,n/a,n/a,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",5.2,235088999.6,n/a,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc. ",3.17,14426685.85,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",3.17,439317841.9,n/a,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",28.54,3303791171,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",15.67,485466989.2,n/a,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",13.84,219802451.2,n/a,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,35.7,251284017.6,n/a,n/a,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",28.6,1358037052,n/a,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",74.91,57112027252,n/a,n/a,Technology,Computer Software: Prepackaged Software
ACXM,Acxiom Corporation,45.58,3531177862,n/a,n/a,Technology,EDP Services
ADMS,"Adamas Pharmaceuticals, Inc.",22.5,611785192.5,n/a,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,2.8,132415802.4,n/a,n/a,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,10.3,676552410,65684700,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,65.15,762082026.8,n/a,2009,Health Care,Medical/Nursing Services
AEY,"ADDvantage Technologies Group, Inc.",1.44,14840848.8,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services
IOTS,Adesto Technologies Corporation,5.55,162440075.1,n/a,2015,Technology,Semiconductors
ADIL,"Adial Pharmaceuticals, Inc",3.03,19810818.72,n/a,2018,Health Care,Major Pharmaceuticals
ADILW,"Adial Pharmaceuticals, Inc",0.4,0,n/a,2018,Health Care,Major Pharmaceuticals
ADMA,ADMA Biologics Inc,6.2,287366986.8,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,268.36,1.31406E+11,n/a,1986,Technology,Computer Software: Prepackaged Software
ADOM,"ADOMANI, Inc.",0.6701,48584512.26,n/a,2017,Capital Goods,Auto Parts:O.E.M.
ADTN,"ADTRAN, Inc.",17,811565890,n/a,1994,Public Utilities,Telecommunications Equipment
ADRO,"Aduro Biotech, Inc.",6.3,498076513.2,n/a,2015,Health Care,Major Pharmaceuticals
ADES,"Advanced Emissions Solutions, Inc.",11.27,226666105.6,n/a,n/a,Basic Industries,Major Chemicals
AEIS,"Advanced Energy Industries, Inc.",58.98,2306918123,n/a,1995,Capital Goods,Industrial Machinery/Components
AMD,"Advanced Micro Devices, Inc.",25.2,24566784707,n/a,n/a,Technology,Semiconductors
ADXS,"Advaxis, Inc.",1.46,76827375.4,n/a,n/a,Health Care,Major Pharmaceuticals
ADXSW,"Advaxis, Inc.",0.0799,0,n/a,n/a,Health Care,Major Pharmaceuticals
ADVM,"Adverum Biotechnologies, Inc.",6.125,384001203.3,n/a,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,25.59,3198750,n/a,n/a,n/a,n/a
DWSH,AdvisorShares Dorsey Wright Short ETF,24.66,3699000,n/a,n/a,n/a,n/a
ACT,AdvisorShares Vice ETF,26.1483,13074150,n/a,n/a,n/a,n/a
AEGN,Aegion Corp,24.96,806485130.9,n/a,n/a,Basic Industries,Water Supply
AGLE,"Aeglea BioTherapeutics, Inc.",10.79,237326395.3,n/a,2016,Health Care,Major Pharmaceuticals
AEHR,Aehr Test Systems,2.62,57518772.6,n/a,1997,Capital Goods,Electrical Products
AMTX,"Aemetis, Inc",1.29,26087528.1,n/a,n/a,Basic Industries,Major Chemicals
AERI,"Aerie Pharmaceuticals, Inc.",63.55,2873874178,n/a,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,"AeroVironment, Inc.",86.21,2062937970,n/a,2007,Capital Goods,Aerospace
ARPO,"Aerpio Pharmaceuticals, Inc.",3.48,141217902.4,n/a,n/a,Health Care,Major Pharmaceuticals
AEZS,AEterna Zentaris Inc.,1.8,29593368,n/a,n/a,Health Care,Major Pharmaceuticals
AEMD,"Aethlon Medical, Inc.",1,17798248,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments
GNMX,"Aevi Genomic Medicine, Inc.",1.24,73582506.44,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AFMD,Affimed N.V.,6.15,383698918.2,n/a,2014,Health Care,Major Pharmaceuticals
AGEN,Agenus Inc.,2.15,243556549.4,n/a,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,"Agile Therapeutics, Inc.",0.27,9281878.83,n/a,2014,Health Care,Major Pharmaceuticals
AGYS,"Agilysys, Inc.",16.14,379701279.5,n/a,n/a,Technology,EDP Services
AGIO,"Agios Pharmaceuticals, Inc.",79.41,4605190460,n/a,2013,Health Care,Major Pharmaceuticals
AGMH,AGM Group Holdings Inc.,26.85,572336076.8,n/a,2018,Technology,EDP Services
AGNC,AGNC Investment Corp.,19.32,9231714182,n/a,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,25.9,8973057150,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp.,26.36,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",6.59,332709079.6,n/a,2014,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.2,0,n/a,2014,Finance,Business Services
ALRN,"Aileron Therapeutics, Inc.",2.89,42591091.78,n/a,2017,Health Care,Major Pharmaceuticals
AIMT,"Aimmune Therapeutics, Inc.",28.13,1644970387,n/a,2015,Health Care,Major Pharmaceuticals
AIRT,"Air T, Inc.",34.6,70708802.2,n/a,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",20.68,1221782403,n/a,n/a,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",11.93,118013087,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,0.463,20917297.79,45177749,2007,Technology,Advertising
AKAM,"Akamai Technologies, Inc.",75.23,12751833164,n/a,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,1.91,29048000.07,15208377,n/a,Health Care,Major Pharmaceuticals
AKCA,"Akcea Therapeutics, Inc.",25.23,2162674526,n/a,2017,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",8.29,472903754.7,n/a,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,0.2479,23328949.79,n/a,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",14.66,1839114211,n/a,n/a,Health Care,Major Pharmaceuticals
AKTS,"Akoustis Technologies, Inc.",7.7,170918440,n/a,n/a,Public Utilities,Telecommunications Equipment
ALRM,"Alarm.com Holdings, Inc.",54.71,2609427644,n/a,2015,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.93,102645270.5,n/a,1999,Public Utilities,Telecommunications Equipment
ALBO,"Albireo Pharma, Inc.",32.2,385431681.6,n/a,n/a,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,6.1,82531639.7,n/a,n/a,n/a,n/a
ALDR,"Alder BioPharmaceuticals, Inc.",17.95,1224843218,n/a,2014,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",7.75,162555630,n/a,2014,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",122.81,27369331966,n/a,1996,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",32.1,263218619.7,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",385.43,30957769205,n/a,2001,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",1.05,73540331.55,n/a,2010,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",1.96,74325387.36,n/a,n/a,Miscellaneous,Business Services
ALKS,Alkermes plc,45.61,7083925269,n/a,1991,Health Care,Major Pharmaceuticals
ALLK,Allakos Inc.,40.09,1622409907,n/a,2018,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",44.35,592852616.5,n/a,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,134.85,2179652425,n/a,2006,Transportation,Air Freight/Delivery Services
ALGR,Allegro Merger Corp.,9.56,0,n/a,2018,Finance,Business Services
ALGRR,Allegro Merger Corp.,0.42,0,n/a,2018,Finance,Business Services
ALGRU,Allegro Merger Corp.,10.2,0,n/a,2018,Finance,Business Services
ALGRW,Allegro Merger Corp.,0.335,0,n/a,2018,Finance,Business Services
ALNA,"Allena Pharmaceuticals, Inc.",10.96,227443750.3,n/a,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMMA,"Alliance MMA, Inc.",0.34,5053411.16,n/a,2016,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",20.1,2640528839,n/a,1999,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",2.32,9311405.84,n/a,1992,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",49.78,471669382.8,n/a,n/a,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",2.65,13263806.5,n/a,n/a,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,6.23,210040275.9,n/a,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",14.73,2572002943,n/a,n/a,Technology,EDP Services
ALNY,"Alnylam Pharmaceuticals, Inc.",119.1,11989333939,n/a,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,13.8,329307288.6,n/a,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,1249.3,8.6911E+11,n/a,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,1264.65,8.79789E+11,n/a,n/a,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,27.84,29232000,n/a,n/a,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",3.63,153897719.6,n/a,2006,Health Care,Medical/Dental Instruments
ALPN,"Alpine Immune Sciences, Inc.",6.33,87675323.46,n/a,2015,Health Care,Major Pharmaceuticals
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,33.2568,11639946.51,n/a,n/a,n/a,n/a
AMR,"Alta Mesa Resources, Inc.",4.91,1885344653,n/a,2017,Energy,Oil & Gas Production
AMRWW,"Alta Mesa Resources, Inc.",0.6,0,n/a,2017,Energy,Oil & Gas Production
AABA,Altaba Inc.,70.43,56379792244,n/a,n/a,Technology,EDP Services
ALTR,Altair Engineering Inc.,41.36,2891480743,n/a,2017,Technology,Computer Software: Prepackaged Software
ALT,"Altimmune, Inc.",0.31,11931119.42,n/a,n/a,Health Care,Major Pharmaceuticals
ASPS,Altisource Portfolio Solutions S.A.,36.13,615688295.1,n/a,n/a,Consumer Services,Other Consumer Services
