Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Interest","Vol/OI Ratio",IV,Time
SN,4.69,Put,5.00,08/17/18,27,0.45,0.5,0.55,0.50,26854,357,75.22,67.05%,"12:10 ET"
SKX,25.92,Call,27.00,07/20/18,0,0.05,0.1,0.15,0.07,4530,103,43.98,78.87%,"12:18 ET"
UAL,80.52,Put,77.00,08/03/18,13,0.45,0.47,0.49,0.46,4405,101,43.61,31.21%,"12:07 ET"
SKX,25.92,Call,30.00,08/03/18,13,0.15,0.23,0.30,0.25,4002,109,36.72,67.10%,"11:25 ET"
GGP,20.98,Call,20.00,08/17/18,27,1.05,1.13,1.20,1.09,20286,586,34.62,21.45%,"13:37 ET"
GGP,20.98,Call,21.00,10/19/18,90,0.60,0.69,0.78,0.71,10502,381,27.56,15.91%,"13:21 ET"
LLY,88.56,Call,95.00,08/17/18,27,0.19,0.21,0.22,0.21,3032,134,22.63,18.70%,"12:30 ET"
OMC,68.3,Call,70.00,10/19/18,90,2.15,2.2,2.25,2.16,2762,127,21.75,20.43%,"13:32 ET"
AMZN,1817.92,Put,1720.00,08/03/18,14,20.70,21.1,21.50,20.85,4458,224,19.9,42.17%,07/19/18
BABA,187.31,Put,170.00,08/24/18,34,1.58,1.61,1.64,1.51,3021,154,19.62,33.44%,"11:36 ET"
CVE,10.19,Put,10.00,08/17/18,27,0.30,0.33,0.35,0.30,2100,108,19.44,38.32%,"10:09 ET"
C,69.24,Put,68.00,08/03/18,13,0.53,0.55,0.56,0.55,3004,161,18.66,21.60%,"11:55 ET"
AMZN,1817.92,Put,1740.00,08/03/18,14,26.30,26.75,27.20,27.30,2198,121,18.17,42.07%,07/19/18
BSX,33.79,Call,35.00,07/27/18,6,0.37,0.48,0.59,0.46,3012,183,16.46,52.89%,"12:34 ET"
UNM,37.58,Put,35.00,08/17/18,27,0.40,0.43,0.45,0.44,2200,135,16.3,34.82%,"10:28 ET"
MAC,57.5,Call,57.50,08/17/18,27,1.75,1.93,2.10,1.88,1887,129,14.63,26.83%,"12:25 ET"
SCHW,52.11,Call,52.50,07/20/18,0,0.05,0.08,0.10,0.20,7669,532,14.42,21.68%,"10:26 ET"
OMC,68.3,Call,77.50,10/19/18,90,0.40,0.45,0.50,0.45,3167,224,14.14,20.77%,"13:23 ET"
ABBV,88.5,Put,75.00,08/17/18,27,0.28,0.29,0.30,0.30,2844,206,13.81,40.10%,"12:35 ET"
AMZN,1817.92,Put,1730.00,07/27/18,7,17.05,17.43,17.80,17.48,3378,254,13.3,53.09%,07/19/18
SKX,25.92,Call,31.00,08/03/18,13,0.05,0.13,0.20,0.25,1300,103,12.62,66.12%,"11:21 ET"
STI,70.91,Put,70.00,08/17/18,27,1.08,1.1,1.12,1.13,1587,136,11.67,21.52%,"12:32 ET"
SKX,25.92,Call,25.00,08/17/18,27,1.85,1.88,1.90,1.90,3028,261,11.6,47.73%,"12:43 ET"
BABA,187.31,Put,182.50,08/24/18,34,5.10,5.18,5.25,4.80,3003,266,11.29,33.20%,"11:36 ET"
AMZN,1817.92,Call,1835.00,07/20/18,0,1.51,1.65,1.79,1.73,10909,1039,10.5,22.19%,07/19/18
SKX,25.92,Call,27.00,07/27/18,6,0.50,0.53,0.55,0.50,1180,116,10.17,70.42%,"12:44 ET"
GOOGL,1200.05,Call,1205.00,07/20/18,0,0.80,0.93,1.05,0.95,6531,655,9.97,8.96%,"12:43 ET"
HON,153.47,Put,105.00,09/21/18,62,0.02,0.04,0.06,0.04,6977,701,9.95,37.14%,"10:56 ET"
ABBV,88.5,Put,77.50,09/21/18,62,0.98,1.01,1.03,1.03,1802,182,9.9,32.45%,"12:44 ET"
USB,51.18,Call,53.50,08/31/18,41,0.28,0.29,0.30,0.29,1392,141,9.87,14.98%,"12:42 ET"
PHG,42.88,Call,45.00,08/17/18,27,0.40,0.45,0.50,0.45,1071,111,9.65,25.55%,"12:03 ET"
SKX,25.92,Put,24.00,07/27/18,6,0.10,0.15,0.20,0.20,1049,110,9.54,59.66%,"12:31 ET"
SKX,25.92,Put,24.00,07/20/18,0,0.00,0.05,0.05,0.05,1720,183,9.4,91.31%,"11:42 ET"
IQ,32.73,Put,27.50,08/17/18,27,1.15,1.2,1.25,1.15,1508,161,9.37,90.44%,"12:28 ET"
