Ticker,Beta,Div,EPS (TTM),Market Cap,PE Ratio (TTM),Yield
A,1.52,0.6,0.6,22.206B,114.77,0.9
AA,N/A,,1.16,10.029B,46.37,
AABA,1.98,,29.96,61.471B,2.53,
AAL,1.27,0.4,3.9,19.681B,10.78,0.92
AAP,0.89,0.24,6.42,8.75B,18.42,0.21
AAPL,1.11,2.92,10.34,934.073B,18.38,1.56
AAT,0.61,1.08,0.62,2.27B,56.67,3.26
AAXN,0.76,,0.1,2.955B,560,
AB,1.14,2.57,2.19,2.61B,12.21,9.79
ABB,1.12,0.83,1.03,51.35B,23.41,3.62
ABBV,1.64,3.84,3.3,163.211B,31.17,3.98
ABC,1.23,1.52,4.42,18.8B,19.35,1.65
ABCB,1.22,0.4,1.98,2.115B,27.88,0.76
ABEV,0.45,0.19,0.14,101.008B,44.85,2.81
ABLX,2.12,,-2.14,4.073B,N/A,
ABMD,-0.12,,1.99,16.369B,185.09,
ABT,1.67,1.12,0.27,106.173B,225.13,1.88
ABX,-0.28,0.12,1.23,15.807B,11,0.93
ACAD,3.91,,-2.36,2.279B,N/A,
ACC,0.37,1.76,0.5,5.528B,80.8,4.57
ACGL,0.47,,4.07,10.876B,19.55,
ACGLO,0.62,0.85,4.07,10.827B,5.91,3.52
ACGLP,0.62,1.37,4.07,10.854B,5.83,5.5
ACH,0.45,,0.35,8.657B,40.17,
ACHC,0.43,,2.3,3.711B,18.3,
ACIW,1.3,,0.04,2.716B,583.38,
ACM,1.54,,2.52,5.435B,13.46,
ACN,1.07,2.66,5.69,100.669B,27.51,1.75
ACXM,0.74,,0.12,2.137B,220.89,
ADBE,0.76,,3.75,118.759B,64.32,
ADI,1.08,1.92,2.12,34.518B,44.05,2.16
ADM,0.91,1.34,2.79,24.535B,15.73,2.92
ADNT,N/A,1.1,5.54,5.241B,10.14,1.76
ADP,0.86,2.76,3.87,56.118B,32.92,2.39
ADS,1.85,2.28,14.1,11.449B,14.66,1.12
ADSK,1.8,,-2.58,29.902B,N/A,
ADSW,N/A,,0.43,2.037B,53.49,
ADT,N/A,0.14,0.53,5.933B,14.94,1.54
AEB,0.82,,N/A,51.661B,N/A,
AED,0.82,,-0.31,53.695B,N/A,
AEE,0.21,1.83,2.14,13.71B,26.33,3.12
AEG,1.29,0.35,1.4,13.973B,4.94,4.84
AEH,0.82,,0.25,53.55B,102.38,
AEIS,1.15,,3.43,2.592B,19.19,
AEL,2.62,0.26,1.93,2.603B,14.97,0.84
AEM,-0.2,0.44,1.05,10.295B,42.53,1.01
AEO,0.56,0.55,1.13,3.543B,17.8,2.54
AEP,0.07,2.48,3.88,33.009B,17.27,3.6
AER,1.52,,6.43,8.173B,8.64,
AES,1.29,0.52,-1.76,8.142B,N/A,4.52
AET,0.68,2,5.68,55.8B,30.03,1.12
AEUA,1.31,,-7.45,17.849B,N/A,
AFC,N/A,,-1.167,4.593B,N/A,
AFG,0.62,1.4,5.28,9.935B,21.16,1.23
AFGE,0.76,,5.28,9.974B,4.88,
AFGH,N/A,,N/A,2.245B,4.83,
AFL,0.8,1.04,5.77,35.108B,7.86,2.28
AFSI,1.18,0.68,-2.23,2.612B,N/A,5.43
AFSS,1.34,,-2.23,2.559B,N/A,
AFST,1.34,,N/A,4.888B,N/A,
AGCO,0.52,0.6,2.32,5.13B,27.81,0.96
AGI,-0.56,0.02,0.09,2.074B,61.38,0.35
AGIO,2.53,,-6.75,4.889B,N/A,
AGN,1.23,2.88,-13.2,51.507B,N/A,1.73
AGNC,-0.05,2.16,2.04,7.439B,9.32,11.45
AGNCB,0.11,1.94,2.04,7.36B,12.53,7.54
AGNCN,N/A,1.75,2.04,7.374B,12.43,6.87
AGO,0.88,0.64,5.96,3.948B,5.9,1.75
AGR,0.17,1.73,1.23,16.201B,42.63,3.39
AHL,0.1,0.96,-5.22,2.574B,N/A,2.17
AIG,1.18,1.28,-6.54,47.353B,N/A,2.39
