Earnings Date,Tickers,Call Times,Current 7 Day Implied,EPS,Implied Move Weekly,Last Close,Lower Bound
4/30/2018,AKAM,After Market Close,6.8,0.7,8.53,71.1,65.04
4/30/2018,PZZA,After Market Close,3.87,0.62,4.29,62.29,59.62
4/30/2018,WLL,After Market Close,7.61,0.24,8.97,40.34,36.72
4/30/2018,AGN,Before Market Open,4.52,3.36,4.77,162.04,154.31
4/30/2018,DISH,Before Market Open,5.28,0.7,8.01,34.74,31.96
4/30/2018,MCD,Before Market Open,2.89,1.67,3.25,158.3,153.16
5/1/2018,APC,After Market Close,4.09,0.4,4.64,67.05,63.94
5/1/2018,AAPL,After Market Close,4.34,2.69,4.93,162.32,154.32
5/1/2018,DVN,After Market Close,5.52,0.2,6.62,35.75,33.38
5/1/2018,GILD,After Market Close,4.12,1.67,4.9,73.86,70.24
5/1/2018,OLN,After Market Close,5.12,0.19,6.36,30.58,28.64
5/1/2018,OKE,After Market Close,3.48,0.61,3.41,59.88,57.84
5/1/2018,ADM,Before Market Open,3.47,0.51,4.21,46.05,44.11
5/1/2018,CMI,Before Market Open,4.51,2.92,5.15,160.82,152.54
5/1/2018,ETN,Before Market Open,3.56,1.07,4.41,76.15,72.79
5/1/2018,ECL,Before Market Open,2.72,0.9,3,146.71,142.31
5/1/2018,EMR,Before Market Open,3.47,0.72,4.3,67.82,64.9
5/1/2018,GRUB,Before Market Open,10.47,0.39,12.08,99.37,87.37
5/1/2018,HCA,Before Market Open,3.54,2.08,4.85,96.25,91.58
5/1/2018,MPC,Before Market Open,3.66,0.16,4.08,81.43,78.11
5/1/2018,MRK,Before Market Open,2.73,1,3.06,59.47,57.65
5/1/2018,PFE,Before Market Open,2.44,0.75,2.61,37,36.03
5/1/2018,STX,Before Market Open,7.63,1.33,9.27,59.52,54
5/1/2018,SHOP,Before Market Open,8.63,-0.05,10.79,126.62,112.96
5/1/2018,TPR,Before Market Open,5.51,0.5,6.35,54.64,51.17
5/2/2018,AIG,After Market Close,3.68,1.27,4.21,56.25,53.88
5/2/2018,APA,After Market Close,4.8,0.3,5.36,40.18,38.03
5/2/2018,CF,After Market Close,5.22,0.26,6.28,39.53,37.05
5/2/2018,CRUS,After Market Close,7.44,0.6,8.78,36.21,33.03
5/2/2018,CLR,After Market Close,5.55,0.62,6.33,65.17,61.04
5/2/2018,ESRX,After Market Close,4.18,1.76,2.32,77.21,75.42
5/2/2018,MET,After Market Close,3.66,1.17,4.28,48.39,46.32
5/2/2018,MNST,After Market Close,3.23,0.39,3.09,56.19,54.45
5/2/2018,NXPI,After Market Close,4.95,1.68,4.61,105.4,100.54
5/2/2018,OSTK,After Market Close,8.12,-0.91,10.87,37.15,33.11
5/2/2018,PXD,After Market Close,4.63,1.5,5.38,199.29,188.57
5/2/2018,SQ,After Market Close,7.81,0.06,8.99,47.57,43.29
5/2/2018,DATA,After Market Close,8.2,-0.18,11.54,84.09,74.39
