,Call Times,Current 7 Day Implied,EPS,Implied Move Weekly,Tickers,Earnings Date,Last Close,Lower Bound
0,Before Market Open,4.30,0.5,11.64,MOMO,2018-05-21,37.56,33.19
1,Before Market Open,2.64,0.76,5.96,TOL,2018-05-21,42.26,39.74
5,After Market Close,3.44,0.3,9.74,URBN,2018-05-22,39.79,35.91
2,Before Market Open,2.37,8.91,6.91,AZO,2018-05-22,658.33,612.84
4,Before Market Open,3.49,0.5,10.03,KSS,2018-05-22,61.39,55.23
12,After Market Close,2.74,1.01,7.91,NTAP,2018-05-23,71.17,65.54
15,After Market Close,3.16,-0.09,9.55,SPLK,2018-05-23,114.84,103.87
8,Before Market Open,2.79,1.09,5.59,BURL,2018-05-23,139.41,131.62
9,Before Market Open,2.57,1.23,5.07,DLTR,2018-05-23,93.55,88.81
11,Before Market Open,2.22,1.24,5.67,LOW,2018-05-23,84.42,79.63
16,Before Market Open,2.48,1.38,6.48,TGT,2018-05-23,69.93,65.4
17,Before Market Open,1.93,0.83,5.54,TIF,2018-05-23,103.36,97.63
18,After Market Close,2.52,0.03,8.17,ADSK,2018-05-24,135.32,124.26
19,Before Market Open,2.52,0.74,9.12,BBY,2018-05-24,76.22,69.27
21,Before Market Open,2.04,0.45,5.49,HRL,2018-05-24,36.09,34.11
22,Before Market Open,2.75,3.56,5.45,MCK,2018-05-24,144.81,136.92
23,Before Market Open,1.89,1.39,4.23,MDT,2018-05-24,84.06,80.5
