Symbol,Name,LastSale,IPOyear,Sector
DDD,3D Systems Corporation,12.02,n/a,Technology
MMM,3M Company,203.42,n/a,Health Care
WBAI,500.com Limited,19.23,2013,Consumer Services
WUBA,58.com Inc.,88.69,2013,Technology
EGHT,8x8 Inc,21.8,n/a,Public Utilities
AHC,A.H. Belo Corporation,4.95,n/a,Consumer Services
ATEN,"A10 Networks, Inc.",6.26,2014,Technology
AAC,"AAC Holdings, Inc.",11.45,2014,Health Care
AIR,AAR Corp.,47.11,n/a,Capital Goods
AAN,"Aaron&#39;s,  Inc.",39.76,n/a,Technology
ABB,ABB Ltd,23.86,n/a,Consumer Durables
ABT,Abbott Laboratories,59.4,n/a,Health Care
ABBV,AbbVie Inc.,101.18,2012,Health Care
ANF,Abercrombie & Fitch Company,26.3,n/a,Consumer Services
AGD,Aberdeen Global Dynamic Dividend Fund,10.7011,2006,n/a
AWP,Aberdeen Global Premier Properties Fund,6.49,2007,n/a
ACP,Aberdeen Income Credit Strategies Fund,13.95,2011,n/a
JEQ,"Aberdeen Japan Equity Fund, Inc. ",9.01,1992,n/a
AOD,Aberdeen Total Dynamic Dividend Fund,9.09,2007,n/a
ABM,ABM Industries Incorporated,30.43,n/a,Finance
AKR,Acadia Realty Trust,24.16,n/a,Consumer Services
ACN,Accenture plc,154.62,2001,Miscellaneous
ACCO,Acco Brands Corporation,11.9,n/a,Consumer Durables
ATV,"Acorn International, Inc.",26.0114,2007,Consumer Services
ATU,Actuant Corporation,24.1,n/a,Technology
AYI,Acuity Brands Inc,113.9,n/a,Consumer Durables
GOLF,Acushnet Holdings Corp.,23.13,2016,Consumer Non-Durables
ADX,"Adams Diversified Equity Fund, Inc.",15.11,n/a,n/a
PEO,"Adams Natural Resources Fund, Inc.",20.34,n/a,n/a
AGRO,Adecoagro S.A.,7.4,2011,Consumer Non-Durables
ADNT,Adient plc,55.64,2016,Capital Goods
ADT,ADT Inc.,7.82,2018,Consumer Services
ATGE,Adtalem Global Education Inc.,46.05,n/a,Consumer Services
AAP,Advance Auto Parts Inc,117.99,n/a,Consumer Services
ADSW,"Advanced Disposal Services, Inc.",23.06,2016,Public Utilities
WMS,"Advanced Drainage Systems, Inc.",26.1,2014,Capital Goods
ASIX,AdvanSix Inc.,37.02,2016,Basic Industries
AAV,Advantage Oil & Gas Ltd,3,n/a,Energy
AVK,Advent Claymore Convertible Securities and Income Fund,15.32,2003,n/a
AGC,Advent Claymore Convertible Securities and Income Fund II,5.78,2007,n/a
LCM,Advent/Claymore Enhanced Growth & Income Fund,8.12,2005,n/a
ACM,AECOM,34.29,2007,Consumer Services
ANW,Aegean Marine Petroleum Network Inc.,3.15,2006,Energy
AEB,Aegon NV,24.8404,n/a,Finance
AED,Aegon NV,25.99,n/a,Finance
AEG,Aegon NV,7.15,n/a,Finance
AEH,Aegon NV,25.781,n/a,Finance
AEK.CL,Aegon NV,n/a,n/a,n/a
AER,Aercap Holdings N.V.,55.37,2006,Technology
HIVE,"Aerohive Networks, Inc.",4.21,2014,Technology
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",27.72,n/a,Capital Goods
AET,Aetna Inc.,170.57,n/a,Health Care
AMG,"Affiliated Managers Group, Inc.",163.53,n/a,Finance
AFL,Aflac Incorporated,44.75,n/a,Finance
MITT,"AG Mortgage Investment Trust, Inc.",18.09,2011,n/a
MITT^A,"AG Mortgage Investment Trust, Inc.",25.6108,n/a,n/a
MITT^B,"AG Mortgage Investment Trust, Inc.",25.52,n/a,n/a
AGCO,AGCO Corporation,63.45,n/a,Capital Goods
A,"Agilent Technologies, Inc.",68.13,1999,Capital Goods
AEM,Agnico Eagle Mines Limited,43.63,n/a,Basic Industries
ADC,Agree Realty Corporation,50.87,n/a,Consumer Services
AL,Air Lease Corporation,44.16,2011,Technology
APD,"Air Products and Chemicals, Inc.",164.89,n/a,Basic Industries
AYR,Aircastle Limited,21.64,2006,Technology
AKS,AK Steel Holding Corporation,4.38,n/a,Basic Industries
ALP^Q,Alabama Power Company,24.92,n/a,n/a
ALG,"Alamo Group, Inc.",92.5,n/a,Capital Goods
AGI,Alamos Gold Inc.,5.22,2015,Basic Industries
ALK,"Alaska Air Group, Inc.",60.39,n/a,Transportation
AIN,Albany International Corporation,60.2,n/a,Basic Industries
ALB,Albemarle Corporation,101.75,n/a,Basic Industries
AA,Alcoa Corporation,53.49,2016,Basic Industries
ALEX,"Alexander & Baldwin, Inc.",22.72,n/a,Consumer Services
ALX,"Alexander&#39;s, Inc.",391.59,n/a,Consumer Services
ARE,"Alexandria Real Estate Equities, Inc.",129.84,n/a,Consumer Services
ARE^D,"Alexandria Real Estate Equities, Inc.",35.5662,n/a,n/a
AQN,Algonquin Power & Utilities Corp.,9.77,2016,Public Utilities
BABA,Alibaba Group Holding Limited,195.43,2014,Miscellaneous
Y,Alleghany Corporation,577.23,n/a,Finance
ATI,Allegheny Technologies Incorporated,28.23,n/a,Basic Industries
ALLE,Allegion plc,76.28,2013,Consumer Services
AGN,Allergan plc.,146.28,2013,Health Care
ALE,"Allete, Inc.",76.57,n/a,Public Utilities
AKP,Alliance California Municipal Income Fund Inc,12.76,2002,n/a
ADS,Alliance Data Systems Corporation,203.88,2001,Miscellaneous
AFB,Alliance National Municipal Income Fund Inc,12.45,2002,n/a
AOI,"Alliance One International, Inc.",18.8,n/a,Consumer Services
AWF,Alliance World Dollar Government Fund II,11.65,1993,n/a
AB,AllianceBernstein Holding L.P.,26.55,n/a,Finance
LNT,Alliant Energy Corporation,41.26,n/a,Public Utilities
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.29,2017,n/a
NCV,AllianzGI Convertible & Income Fund,6.89,2003,n/a
NCZ,AllianzGI Convertible & Income Fund II,6.04,2003,n/a
ACV,AllianzGI Diversified Income & Convertible Fund,23.02,2015,n/a
NIE,AllianzGI Equity & Convertible Income Fund,21.59,2007,n/a
